name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team
Aaron Cresswell,DEF,West Ham,0.6,0,0,3,0,0.0,457,0.0,0.0,0.0,0.0,290,0,0,0.1,1.0,2023-04-02T13:00:00Z,2,0,0,0,0,29,0,149469,0,0,1,0.0,1,3676,6024,2348,47,True,0,Southampton
Aaron Cresswell,DEF,West Ham,0.6,0,0,0,0,0.0,457,0.0,0.0,0.0,0.0,70,0,0,0.0,0.0,2023-04-05T19:00:00Z,0,0,0,0,0,29,0,149469,0,5,1,0.0,0,3676,6024,2348,47,True,0,Newcastle
Aaron Hickey,DEF,Brentford,4.8,0,0,0,0,0.1,510,0.0,0.0,0.0,4.45,283,3,0,0.0,0.0,2023-04-01T14:00:00Z,90,0,0,0,0,29,0,37876,1,3,3,0.0,0,994,3405,2411,49,False,1,Brighton
Aaron Hickey,DEF,Brentford,4.8,0,0,2,0,0.8,510,0.01,0.0,0.02,0.19,247,0,0,0.1,0.0,2023-04-05T19:00:00Z,15,0,0,0,0,29,0,37876,0,0,1,1.0,1,994,3405,2411,49,False,0,Man Utd
Aaron Ramsdale,GK,Arsenal,4.5,0,0,15,0,0.0,15,0.0,0.0,0.0,0.78,281,1,0,3.4,34.2,2023-04-01T14:00:00Z,90,0,0,0,0,29,4,1320420,1,1,4,0.0,3,-15010,24855,39865,49,True,0,Leeds
Aaron Wan-Bissaka,DEF,Man Utd,3.5,0,0,0,0,0.0,341,0.0,0.0,0.0,0.0,288,0,0,0.0,0.0,2023-04-02T15:30:00Z,0,0,0,0,0,29,0,71513,0,0,2,0.0,0,943,4050,3107,43,False,0,Newcastle
Aaron Wan-Bissaka,DEF,Man Utd,3.5,0,0,0,0,0.0,341,0.0,0.0,0.0,0.0,247,0,0,0.0,0.0,2023-04-05T19:00:00Z,0,0,0,0,0,29,0,71513,0,0,1,0.0,0,943,4050,3107,43,True,0,Brentford
Abdoulaye Doucouré,MID,Everton,5.3,0,0,-10,0,13.7,185,0.06,0.0,0.17,2.42,286,1,0,1.8,0.2,2023-04-03T19:00:00Z,57,0,0,0,1,29,0,14403,1,1,1,4.0,-2,5063,6139,1076,53,True,0,Spurs
Adama Traoré,MID,Wolves,1.3,0,0,7,0,19.4,491,0.01,0.0,0.07,0.94,289,1,0,3.5,6.8,2023-04-01T14:00:00Z,64,0,0,0,0,29,0,30703,1,1,1,9.0,2,-2358,546,2904,54,False,0,Nott'm Forest
Adam Armstrong,FWD,Southampton,-0.3,0,0,0,0,0.0,408,0.0,0.0,0.0,0.0,290,0,0,0.0,0.0,2023-04-02T13:00:00Z,0,0,0,0,0,29,0,81625,0,0,1,0.0,0,-1338,909,2247,53,False,0,West Ham
Adam Forshaw,MID,Leeds,0.0,0,0,0,0,0.0,224,0.0,0.0,0.0,0.0,281,0,0,0.0,0.0,2023-04-01T14:00:00Z,0,0,0,0,0,29,0,3565,0,1,4,0.0,0,-12,28,40,44,False,0,Arsenal
Adam Forshaw,MID,Leeds,0.0,0,0,0,0,0.0,224,0.0,0.0,0.0,0.0,65,0,0,0.0,0.0,2023-04-04T18:45:00Z,0,0,0,0,0,29,0,3565,0,1,2,0.0,0,-12,28,40,44,True,0,Nott'm Forest
Adam Lallana,MID,Brighton,0.0,0,0,0,0,0.0,101,0.0,0.0,0.0,0.0,283,0,0,0.0,0.0,2023-04-01T14:00:00Z,0,0,0,0,0,29,0,10756,0,3,3,0.0,0,-143,15,158,48,True,0,Brentford
Adam Lallana,MID,Brighton,0.0,0,0,0,0,0.0,101,0.0,0.0,0.0,0.0,62,0,0,0.0,0.0,2023-04-04T18:45:00Z,0,0,0,0,0,29,0,10756,0,2,0,0.0,0,-143,15,158,48,False,0,Bournemouth
Adam Smith,DEF,Bournemouth,4.6,0,0,3,0,2.3,57,0.01,0.0,0.0,0.84,282,1,0,0.7,1.0,2023-04-01T14:00:00Z,90,0,0,0,0,29,0,24468,1,1,2,4.0,2,4670,5563,893,43,True,0,Fulham
Adam Smith,DEF,Bournemouth,4.6,0,0,6,0,0.6,57,0.0,0.0,0.0,2.76,62,2,0,1.0,9.8,2023-04-04T18:45:00Z,90,0,0,0,0,29,0,24468,1,2,0,0.0,1,4670,5563,893,43,True,0,Brighton
Adam Webster,DEF,Brighton,6.1,0,0,0,0,0.0,108,0.0,0.0,0.0,0.0,283,0,0,0.0,0.0,2023-04-01T14:00:00Z,0,0,0,0,0,29,0,51730,0,3,3,0.0,0,609,2031,1422,45,True,0,Brentford
Adam Webster,DEF,Brighton,6.1,0,3,30,1,12.1,108,0.01,0.0,0.0,1.92,62,0,0,3.5,23.0,2023-04-04T18:45:00Z,90,0,0,0,0,29,0,51730,1,2,0,0.0,9,609,2031,1422,45,False,0,Bournemouth
Adrián San Miguel del Castillo,GK,Liverpool,0.0,0,0,0,0,0.0,497,0.0,0.0,0.0,0.0,287,0,0,0.0,0.0,2023-04-01T11:30:00Z,0,0,0,0,0,29,0,67635,0,1,4,0.0,0,-1081,229,1310,39,False,0,Man City
Adrián San Miguel del Castillo,GK,Liverpool,0.0,0,0,0,0,0.0,497,0.0,0.0,0.0,0.0,74,0,0,0.0,0.0,2023-04-04T19:00:00Z,0,0,0,0,0,29,0,67635,0,0,0,0.0,0,-1081,229,1310,39,False,0,Chelsea
Ainsley Maitland-Niles,MID,Southampton,0.7,0,0,3,0,2.1,21,0.01,0.0,0.0,0.76,290,0,0,0.8,5.8,2023-04-02T13:00:00Z,19,0,0,0,0,29,0,4753,0,0,1,0.0,1,-62,31,93,48,False,0,West Ham
Albert Sambi Lokonga,MID,Crystal Palace,1.0,0,0,0,0,0.0,18,0.0,0.0,0.0,0.0,285,0,0,0.0,0.0,2023-04-01T14:00:00Z,0,0,0,0,0,29,0,24525,0,1,2,0.0,0,-168,91,259,43,True,0,Leicester
Alejandro Garnacho,MID,Man Utd,0.0,0,0,0,0,0.0,569,0.0,0.0,0.0,0.0,288,0,0,0.0,0.0,2023-04-02T15:30:00Z,0,0,0,0,0,29,0,69355,0,0,2,0.0,0,-10296,518,10814,42,False,0,Newcastle
Alejandro Garnacho,MID,Man Utd,0.0,0,0,0,0,0.0,569,0.0,0.0,0.0,0.0,247,0,0,0.0,0.0,2023-04-05T19:00:00Z,0,0,0,0,0,29,0,69355,0,0,1,0.0,0,-10296,518,10814,42,True,0,Brentford
Aleksandar Mitrović,FWD,Fulham,0.0,0,0,0,0,0.0,210,0.0,0.0,0.0,0.0,282,0,0,0.0,0.0,2023-04-01T14:00:00Z,0,0,0,0,0,29,0,1584301,0,1,2,0.0,0,-181793,4176,185969,66,False,0,Bournemouth
Alexander Isak,FWD,Newcastle,15.0,0,0,7,1,35.0,594,0.29,0.0,0.4,0.26,288,0,0,9.5,13.4,2023-04-02T15:30:00Z,79,0,0,0,0,29,0,723926,1,0,2,47.0,2,438502,453031,14529,67,True,0,Man Utd
Alexander Isak,FWD,Newcastle,15.0,0,1,27,0,1.7,594,0.01,0.0,0.07,0.03,70,0,1,4.8,35.2,2023-04-05T19:00:00Z,26,0,0,0,0,29,0,723926,0,5,1,11.0,6,438502,453031,14529,67,False,0,West Ham
Alexandre Moreno Lopera,DEF,Aston Villa,11.0,0,0,28,1,1.1,694,0.0,0.0,0.0,2.04,284,0,0,2.1,19.4,2023-04-01T16:30:00Z,88,0,0,0,0,29,0,53052,1,2,0,0.0,6,16620,20275,3655,44,False,0,Chelsea
Alexandre Moreno Lopera,DEF,Aston Villa,11.0,0,0,9,0,30.3,694,0.16,0.0,0.13,0.48,66,1,0,4.9,3.6,2023-04-04T18:45:00Z,84,0,0,0,0,29,0,53052,1,2,1,15.0,2,16620,20275,3655,44,False,0,Leicester
Alexis Mac Allister,MID,Brighton,10.1,0,0,26,0,17.8,116,0.17,0.0,0.98,1.5,283,3,1,11.3,47.6,2023-04-01T14:00:00Z,90,0,0,0,0,29,0,980250,1,3,3,48.0,6,262761,280702,17941,55,True,1,Brentford
Alexis Mac Allister,MID,Brighton,10.1,0,0,13,1,14.8,116,0.03,0.0,0.05,1.85,62,0,0,1.7,1.2,2023-04-04T18:45:00Z,72,0,0,0,0,29,0,980250,1,2,0,1.0,3,262761,280702,17941,55,False,0,Bournemouth
Alex Iwobi,MID,Everton,2.3,0,0,14,0,29.8,186,0.18,0.0,0.04,1.48,286,1,0,5.2,14.2,2023-04-03T19:00:00Z,90,0,0,0,0,29,0,116639,1,1,1,8.0,2,-36867,1213,38080,51,True,0,Spurs
Alex McCarthy,GK,Southampton,-0.5,0,0,0,0,0.0,401,0.0,0.0,0.0,0.0,290,0,0,0.0,0.0,2023-04-02T13:00:00Z,0,0,0,0,0,29,0,16518,0,0,1,0.0,0,-162,55,217,43,False,0,West Ham
Alex Mighten,MID,Nott'm Forest,0.0,0,0,0,0,0.0,395,0.0,0.0,0.0,0.0,289,0,0,0.0,0.0,2023-04-01T14:00:00Z,0,0,0,0,0,29,0,1128,0,1,1,0.0,0,-3,0,3,49,True,0,Wolves
Alex Mighten,MID,Nott'm Forest,0.0,0,0,0,0,0.0,395,0.0,0.0,0.0,0.0,65,0,0,0.0,0.0,2023-04-04T18:45:00Z,0,0,0,0,0,29,0,1128,0,1,2,0.0,0,-3,0,3,49,False,0,Leeds
Alex Oxlade-Chamberlain,MID,Liverpool,0.6,0,0,3,0,0.3,278,0.0,0.0,0.0,0.68,287,1,0,1.0,5.4,2023-04-01T11:30:00Z,20,0,0,0,0,29,0,1900,0,1,4,4.0,1,-5,48,53,49,False,0,Man City
Alex Oxlade-Chamberlain,MID,Liverpool,0.6,0,0,0,0,0.0,278,0.0,0.0,0.0,0.0,74,0,0,0.0,0.0,2023-04-04T19:00:00Z,0,0,0,0,0,29,0,1900,0,0,0,0.0,0,-5,48,53,49,False,0,Chelsea
Alex Smithies,GK,Leicester,0.0,0,0,0,0,0.0,581,0.0,0.0,0.0,0.0,285,0,0,0.0,0.0,2023-04-01T14:00:00Z,0,0,0,0,0,29,0,5798,0,1,2,0.0,0,-73,159,232,39,False,0,Crystal Palace
Alex Smithies,GK,Leicester,0.0,0,0,0,0,0.0,581,0.0,0.0,0.0,0.0,66,0,0,0.0,0.0,2023-04-04T18:45:00Z,0,0,0,0,0,29,0,5798,0,2,1,0.0,0,-73,159,232,39,True,0,Aston Villa
Alex Telles,DEF,Man Utd,0.0,0,0,0,0,0.0,334,0.0,0.0,0.0,0.0,288,0,0,0.0,0.0,2023-04-02T15:30:00Z,0,0,0,0,0,29,0,2149,0,0,2,0.0,0,-3,0,3,50,False,0,Newcastle
Alex Telles,DEF,Man Utd,0.0,0,0,0,0,0.0,334,0.0,0.0,0.0,0.0,247,0,0,0.0,0.0,2023-04-05T19:00:00Z,0,0,0,0,0,29,0,2149,0,0,1,0.0,0,-3,0,3,50,True,0,Brentford
Alfie Devine,MID,Spurs,0.0,0,0,0,0,0.0,452,0.0,0.0,0.0,0.0,286,0,0,0.0,0.0,2023-04-03T19:00:00Z,0,0,0,0,0,29,0,9289,0,1,1,0.0,0,-57,46,103,43,False,0,Everton
Alisson Ramses Becker,GK,Liverpool,6.0,0,0,21,0,0.0,281,0.0,0.0,0.0,2.96,287,4,0,3.8,38.4,2023-04-01T11:30:00Z,90,0,0,0,0,29,4,1718409,1,1,4,0.0,1,5643,40332,34689,54,False,0,Man City
Alisson Ramses Becker,GK,Liverpool,6.0,0,0,27,1,0.0,281,0.0,0.0,0.0,2.12,74,0,0,2.4,24.0,2023-04-04T19:00:00Z,90,0,0,0,0,29,2,1718409,1,0,0,0.0,6,5643,40332,34689,54,False,0,Chelsea
Allan Marques Loureiro,MID,Everton,0.0,0,0,0,0,0.0,183,0.0,0.0,0.0,0.0,286,0,0,0.0,0.0,2023-04-03T19:00:00Z,0,0,0,0,0,29,0,6188,0,1,1,0.0,0,-8,0,8,48,True,0,Spurs
Allan Saint-Maximin,MID,Newcastle,8.6,1,0,25,1,62.9,368,0.45,0.0,0.06,0.17,288,0,0,12.0,32.0,2023-04-02T15:30:00Z,67,0,0,0,0,29,0,390184,1,0,2,25.0,6,-3679,14479,18158,61,True,0,Man Utd
