date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2023-04-22,0.042217738926410675,4,0,0.38434240221977234,0.2798701822757721,0,Everton,0.042217738926410675,590103,0,Alex Iwobi,2022,0,90,AMC,18516,2,Crystal Palace,0.075406014919281,0
2023-04-15,0.018071599304676056,2,0,0.9606599807739258,0.05462789908051491,1,Fulham,0.018071599304676056,588487,0,Alex Iwobi,2022,3,90,MR,18504,1,Everton,0.9253029823303223,0
2023-04-08,0.039834000170230865,2,0,0.34064000844955444,0.11011700332164764,2,Everton,0.039834000170230865,586395,0,Alex Iwobi,2022,0,90,MR,18498,2,Manchester United,0.20672400295734406,0
2023-04-03,0.040366899222135544,2,0,0.1725199967622757,0.2767069935798645,1,Tottenham,0.040366899222135544,585921,0,Alex Iwobi,2022,1,90,MR,18487,1,Everton,0.08570259809494019,0
2023-03-18,0.0201920997351408,1,0,0.07011730223894119,0.016518300399184227,2,Everton,0.0201920997351408,583279,0,Alex Iwobi,2022,2,90,MR,18476,1,Chelsea,0.03340689837932587,0
2023-03-11,0.5802040100097656,3,0,0.1849920004606247,0.11930099874734879,1,Brentford,0.5802040100097656,581202,0,Alex Iwobi,2022,0,90,MR,18464,1,Everton,0.06569129973649979,0
2023-03-05,0.05481259897351265,1,0,0.19360800087451935,0.038541700690984726,2,Everton,0.05481259897351265,580113,0,Alex Iwobi,2022,2,90,MR,18459,1,Nottingham Forest,0.19360800087451935,0
2023-03-01,0,0,0,0.09861019998788834,0,4,Everton,0,578956,0,Alex Iwobi,2022,0,90,MR,18269,0,Arsenal,0.09861019998788834,0
2023-02-25,0.1613979935646057,2,0,0.22788099944591522,0.10317199677228928,0,Aston Villa,0.1613979935646057,577805,0,Alex Iwobi,2022,2,73,MR,18444,2,Everton,0.10552100092172623,0
2023-02-18,0,3,0,0.20792299509048462,0.1205419972538948,1,Leeds,0,576421,1,Alex Iwobi,2022,0,90,MR,18436,0,Everton,0.20792299509048462,0
2023-02-13,0.02960130013525486,2,0,0.27586498856544495,0.2626200020313263,2,Everton,0.02960130013525486,575880,0,Alex Iwobi,2022,0,90,ML,18428,1,Liverpool,0,0
2023-02-04,0.05401109904050827,3,0,0.354977011680603,0.13331399857997894,1,Arsenal,0.05401109904050827,572973,0,Alex Iwobi,2022,0,90,ML,18416,1,Everton,0.257546991109848,0
2023-01-21,0.0442827008664608,0,0,0.017621999606490135,0,2,Everton,0.0442827008664608,570169,0,Alex Iwobi,2022,0,90,AMC,18411,1,West Ham,0.017621999606490135,0
2023-01-14,0.03523879870772362,1,0,0.3445889949798584,0.03045080043375492,1,Southampton,0.03523879870772362,568869,0,Alex Iwobi,2022,2,90,MC,18396,1,Everton,0.27889999747276306,0
2023-01-03,0.06146819889545441,1,0,0.1304360032081604,0.01911020092666149,1,Brighton,0.06146819889545441,567048,0,Alex Iwobi,2022,4,90,MC,18387,1,Everton,0.11132600158452988,0
2022-12-31,0,0,0,0,0,1,Everton,0,566462,0,Alex Iwobi,2022,1,90,MR,18376,0,Manchester City,0,0
2022-12-26,0.38177400827407837,1,0,0.0373321995139122,0.02248240076005459,1,Wolverhampton Wanderers,0.38177400827407837,565540,0,Alex Iwobi,2022,2,90,MC,18367,2,Everton,0,0
2022-11-12,0.01753080077469349,2,0,0.4048219919204712,0.2951529920101166,3,Everton,0.01753080077469349,564585,0,Alex Iwobi,2022,0,90,MC,18352,1,Bournemouth,0.3523760139942169,0
2022-11-05,0.4428919851779938,3,0,0.9893149733543396,0.5464230179786682,0,Leicester,0.4428919851779938,562161,0,Alex Iwobi,2022,2,90,MC,18344,3,Everton,0.4090760052204132,0
2022-10-29,0,1,0,0.7293270230293274,0.04345719888806343,0,Everton,0,560369,0,Alex Iwobi,2022,0,90,AMC,18337,0,Fulham,0.6858699917793274,0
2022-10-22,0.014412700198590755,3,0,1.022629976272583,0.9439089894294739,3,Crystal Palace,0.014412700198590755,558270,2,Alex Iwobi,2022,0,90,AMC,18324,1,Everton,0.07871679961681366,0
2022-10-19,0,0,0,0,0,1,Everton,0,557570,0,Alex Iwobi,2022,0,75,MC,18319,0,Newcastle United,0,0
2022-10-15,0,0,0,0,0,2,Everton,0,556195,0,Alex Iwobi,2022,0,90,MC,18310,0,Tottenham,0,0
2022-10-09,0.04305430129170418,2,1,0.1804089993238449,0.149617999792099,1,Manchester United,0.04305430129170418,555237,0,Alex Iwobi,2022,2,90,MC,18297,2,Everton,0.11020699888467789,1
2022-10-01,0,3,0,0.140748992562294,0.06929229944944382,1,Everton,0,552321,1,Alex Iwobi,2022,2,90,MC,18290,0,Southampton,0.09577939659357071,0
2022-09-18,0.08128540217876434,2,0,0.2548370063304901,0.13827799260616302,1,West Ham,0.08128540217876434,551386,1,Alex Iwobi,2022,0,90,MC,18277,2,Everton,0.11665099859237671,0
2022-09-03,0.010103999637067318,1,0,0.3122270107269287,0.11590400338172913,0,Liverpool,0.010103999637067318,546852,0,Alex Iwobi,2022,0,90,MC,18252,1,Everton,0.3021230101585388,0
2022-08-30,0,1,0,0.6108090281486511,0.26557600498199463,1,Everton,0,545997,1,Alex Iwobi,2022,1,90,MC,18245,0,Leeds,0.3452329933643341,0
2022-08-27,0.06099360063672066,1,0,0.4670029878616333,0.053355999290943146,1,Everton,0.06099360063672066,544542,0,Alex Iwobi,2022,1,90,MC,18233,2,Brentford,0.35265401005744934,0
2022-08-20,0.025086600333452225,4,0,0.34697601199150085,0.16732199490070343,1,Nottingham Forest,0.025086600333452225,542347,0,Alex Iwobi,2022,1,90,MC,18224,1,Everton,0.15456700325012207,0
2022-08-13,0,2,0,0.12174300104379654,0.08010879904031754,2,Everton,0,540361,0,Alex Iwobi,2022,1,90,MC,18212,0,Aston Villa,0.04163439944386482,0
2022-08-06,0,2,0,0.09903330355882645,0.1643889993429184,0,Chelsea,0,539615,0,Alex Iwobi,2022,1,90,MC,18208,0,Everton,0,0
2022-05-22,0,1,0,1.0366899967193604,0.10164500027894974,5,Everton,0,537841,0,Alex Iwobi,2021,1,90,DR,16746,0,Arsenal,0.9350469708442688,0
2022-05-19,0.015176299959421158,0,0,0.20813299715518951,0,3,Crystal Palace,0.015176299959421158,536778,0,Alex Iwobi,2021,2,90,DMR,16704,1,Everton,0.19295699894428253,0
