date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2023-04-08,0.19139012694358826,0,0,0.2274881899356842,0,0,West Ham,0.19139012694358826,586783,0,2022,1,86,AMC,18494,6,Fulham,0.03609805554151535,0
2023-04-01,0.28442490100860596,2,1,0.30737292766571045,0.07106883078813553,2,Fulham,0.28442490100860596,584665,0,2022,1,84,AMC,18483,4,Bournemouth,0.022948024794459343,1
2023-03-12,0.23583191633224487,2,0,0.38027575612068176,0.10438033193349838,0,Arsenal,0.23583191633224487,582028,0,2022,3,78,AMC,18465,4,Fulham,0.06430401653051376,0
2023-03-06,0.8498397469520569,0,0,0.7574537396430969,0,3,Fulham,0.8498397469520569,580723,0,2022,2,90,AMC,18454,4,Brentford,0.1586296707391739,0
2023-02-24,0.05814122408628464,1,0,0.027267202734947205,0.016658013686537743,1,Wolverhampton Wanderers,0.05814122408628464,577561,0,2022,1,90,AMC,18445,2,Fulham,0.016658013686537743,0
2023-02-18,0.014313322491943836,1,0,0.07519660145044327,0.01661638729274273,0,Fulham,0.014313322491943836,576345,0,2022,1,84,AMC,18434,1,Brighton,0.06088327616453171,0
2023-02-11,0.11408136785030365,4,0,0.47636958956718445,0.5725398063659668,2,Nottingham Forest,0.11408136785030365,574878,1,2022,0,90,AMC,18425,2,Fulham,0.033266548067331314,0
2023-02-03,0.13844294846057892,0,0,0.236665740609169,0,0,Fulham,0.13844294846057892,572956,0,2022,0,90,AMC,18415,2,Chelsea,0.09822279959917068,0
2023-01-23,0.039835166186094284,3,0,0.207546204328537,0.7127702236175537,0,Tottenham,0.039835166186094284,570970,0,2022,1,90,AMC,18405,1,Fulham,0.14287279546260834,0
2023-01-15,0,2,0,0.0737709105014801,0.10886143147945404,1,Fulham,0,569311,0,2022,0,80,AMC,18398,0,Newcastle United,0.0737709105014801,0
2023-01-12,0.045818209648132324,1,0,0.46885091066360474,0.3702634572982788,2,Chelsea,0.045818209648132324,568535,1,2022,1,90,AMC,18262,1,Fulham,0.4230327308177948,0
2023-01-03,0.13232499361038208,1,0,0.24508899450302124,0.01806260086596012,0,Fulham,0.13232499361038208,567011,0,2022,1,63,AMC,18389,1,Leicester,0.09470219910144806,0
2022-12-31,0.14970800280570984,0,0,0.13347800076007843,0,2,Southampton,0.14970800280570984,566420,0,2022,1,90,AMC,18374,2,Fulham,0,0
