date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2023-04-15,0,0,0,0.06858929991722107,0,1,Brighton,0,588454,0,2022,2,90,DC,18503,0,Chelsea,0.06858929991722107,0
2023-03-18,0.07947990298271179,0,0,0.15293699502944946,0,2,Everton,0.07947990298271179,583260,0,2022,2,90,DC,18476,1,Chelsea,0.15293699502944946,0
2023-03-11,0,0,0,0,0,1,Chelsea,0,581313,0,2022,3,1,Sub,18467,0,Leicester,0,0
2023-03-04,0,0,0,0.4243899881839752,0,1,Leeds,0,579542,0,2022,0,90,DC,18456,0,Chelsea,0.4243899881839752,0
2023-02-18,0,1,0,0.7732489705085754,0.07052809745073318,0,Southampton,0,576384,0,2022,1,90,DC,18435,0,Chelsea,0.7027209997177124,0
2023-02-11,0.09169419854879379,0,0,0.4965369999408722,0,1,Chelsea,0.09169419854879379,574588,0,2022,1,90,DC,18431,2,West Ham,0.4965369999408722,0
2023-02-03,0.10552199929952621,1,0,0.384782999753952,0.0730862021446228,0,Fulham,0.10552199929952621,572935,0,2022,0,90,DC,18415,1,Chelsea,0.31169700622558594,0
2023-01-21,0.44162100553512573,1,0,0.0335531011223793,0.5477409958839417,0,Chelsea,0.44162100553512573,569921,0,2022,0,90,DC,18408,1,Liverpool,0.0335531011223793,0
2023-01-15,0,0,0,0.5955579876899719,0,1,Crystal Palace,0,569413,0,2022,0,90,DC,18395,0,Chelsea,0.5955579876899719,0
2022-11-13,0,0,0,0.07702259719371796,0,2,Marseille,0,565419,0,2022,3,90,DC,19788,0,Monaco,0.07702259719371796,0
2022-10-23,0,0,0,0,0,4,Monaco,0,559319,0,2022,3,90,DC,19761,0,Lille,0,0
2022-10-09,0,0,0,0.016992200165987015,0,0,Monaco,0,554538,0,2022,2,90,DC,19741,0,Montpellier,0.016992200165987015,0
2022-10-02,0,0,0,0,0,4,Nantes,0,553233,0,2022,1,67,DC,19730,0,Monaco,0,0
2022-09-18,0.013315100222826004,0,0,0.7825490236282349,0,0,Monaco,0.013315100222826004,551085,0,2022,3,90,DC,19727,1,Reims,0.7692340016365051,0
2022-09-11,0.08820760250091553,0,1,0,0,2,Lyon,0.08820760250091553,550055,0,2022,1,90,DC,19709,1,Monaco,0,1
2022-09-04,0.021855700761079788,0,0,0.053432900458574295,0,0,Monaco,0.021855700761079788,548295,0,2022,1,90,DC,19703,1,Nice,0.03157719969749451,0
2022-08-31,0.05243479833006859,0,0,0,0,2,Troyes,0.05243479833006859,546234,0,2022,4,41,Sub,19688,1,Monaco,0,0
2022-08-28,0,0,0,0,0,1,Monaco,0,545687,0,2022,1,90,DC,19683,0,Paris Saint Germain,0,0
2022-08-20,0.3824700117111206,1,1,0.5455020070075989,0.5455020070075989,1,Lens,0.3824700117111206,542488,0,2022,4,90,DC,19668,1,Monaco,0.5455020070075989,1
2022-08-13,0,0,0,0,0,1,Rennes,0,540743,0,2022,1,4,Sub,19659,0,Monaco,0,0
2022-05-21,0.6663529872894287,1,1,0.0983532965183258,0.0173381008207798,2,Monaco,0.6663529872894287,537364,0,2021,2,90,DC,18192,2,Lens,0.0983532965183258,1
