date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2023-04-16,0.5135239958763123,3,0,0.9800419807434082,0.1825689971446991,0,Manchester United,0.5135239958763123,589304,0,Christian Eriksen,2022,2,81,DMC,18507,3,Nottingham Forest,0.9800419807434082,0
2023-04-08,0.1825679987668991,0,0,0.16572700440883636,0,2,Everton,0.1825679987668991,586387,0,Christian Eriksen,2022,0,12,Sub,18498,2,Manchester United,0.05716700106859207,0
2023-01-22,0.061844900250434875,0,0,0.061844900250434875,0,3,Manchester United,0.061844900250434875,570739,0,Christian Eriksen,2022,2,90,DMC,18402,1,Arsenal,0,0
2023-01-18,0,1,0,0.3411349952220917,0.10773800313472748,1,Manchester United,0,569806,1,Christian Eriksen,2022,1,86,DMC,18270,0,Crystal Palace,0.3411349952220917,0
2023-01-14,0,2,0,0.4235920011997223,0.3769240081310272,2,Manchester City,0,568661,0,Christian Eriksen,2022,1,73,AMC,18397,0,Manchester United,0.0466683991253376,0
2023-01-03,0.13337799906730652,1,0,0.6403710246086121,0.46845000982284546,3,Bournemouth,0.13337799906730652,567081,1,Christian Eriksen,2022,0,71,DMC,18390,1,Manchester United,0.6403710246086121,0
2022-12-31,0,1,0,0.2675980031490326,0.06117599830031395,0,Manchester United,0,566340,0,Christian Eriksen,2022,1,62,DMC,18381,0,Wolverhampton Wanderers,0.2675980031490326,0
2022-12-27,0.05603719875216484,2,0,0.18502500653266907,0.12385000288486481,3,Nottingham Forest,0.05603719875216484,565689,1,Christian Eriksen,2022,0,80,DMC,18370,2,Manchester United,0.12898799777030945,0
2022-11-13,0.9537469744682312,2,1,2.285140037536621,0.3787420094013214,1,Manchester United,0.9537469744682312,565348,1,Christian Eriksen,2022,2,90,DMC,18354,2,Fulham,1.3313900232315063,1
2022-11-06,0,1,0,0.11428999900817871,0.07541359961032867,3,Manchester United,0,562551,0,Christian Eriksen,2022,1,90,DMC,18342,0,Aston Villa,0.038876499980688095,0
2022-10-30,0,3,0,1.0791499614715576,0.6083859801292419,1,West Ham,0,561000,1,Christian Eriksen,2022,0,80,DMC,18340,0,Manchester United,1.0041600465774536,0
2022-10-22,0.01506850030273199,2,0,0.4269160032272339,0.055642999708652496,1,Manchester United,0.01506850030273199,558436,0,Christian Eriksen,2022,1,81,DMC,18323,1,Chelsea,0.3816620111465454,0
2022-10-19,0,0,0,0,0,2,Tottenham,0,557651,0,Christian Eriksen,2022,0,1,Sub,18321,0,Manchester United,0,0
2022-10-09,0.1640550047159195,0,0,0.6804900169372559,0,1,Manchester United,0.1640550047159195,555252,0,Christian Eriksen,2022,2,85,DMC,18297,3,Everton,0.581043004989624,0
2022-10-02,0.05371309816837311,2,0,0.21675799787044525,0.047940000891685486,6,Manchester United,0.05371309816837311,552936,1,Christian Eriksen,2022,3,90,DMC,18289,1,Manchester City,0.1265069991350174,0
2022-09-04,0.3088349997997284,3,0,1.4830600023269653,0.6731770038604736,3,Arsenal,0.3088349997997284,548094,1,Christian Eriksen,2022,1,90,DMC,18261,1,Manchester United,0.6550490260124207,0
2022-09-01,0.08090870082378387,0,0,0.14218999445438385,0,0,Manchester United,0.08090870082378387,546688,0,Christian Eriksen,2022,1,90,DMC,18251,2,Leicester,0.07867860049009323,0
2022-08-27,0.4808819890022278,2,0,0.6732770204544067,0.18118099868297577,0,Manchester United,0.4808819890022278,544173,0,Christian Eriksen,2022,1,90,DMC,18232,1,Southampton,0.19239600002765656,0
2022-08-22,0.10691499710083008,0,0,0.49015799164772034,0,2,Liverpool,0.10691499710083008,543821,0,Christian Eriksen,2022,1,87,DMC,18231,2,Manchester United,0.44081199169158936,0
2022-08-13,0.4590890109539032,0,0,0.5637009739875793,0,4,Manchester United,0.4590890109539032,540815,0,Christian Eriksen,2022,0,90,DMC,18218,2,Brentford,0.10461299866437912,0
2022-08-07,0.08743680268526077,3,0,0.6087639927864075,0.13961699604988098,1,Brighton,0.08743680268526077,539801,0,Christian Eriksen,2022,2,90,FW,18209,3,Manchester United,0.39145299792289734,0
2022-05-22,0.018203800544142723,4,0,0.1630689948797226,0.190187007188797,1,Leeds,0.018203800544142723,537693,0,Christian Eriksen,2021,2,90,MC,16747,1,Brentford,0.1630689948797226,0
2022-05-15,0.20183899998664856,5,0,0.7887070178985596,0.5724999904632568,2,Brentford,0.20183899998664856,536244,1,Christian Eriksen,2021,3,90,MC,16744,3,Everton,0.5707240104675293,0
2022-05-07,0.07778459787368774,5,0,0.9156389832496643,0.38778001070022583,3,Southampton,0.07778459787368774,534206,1,Christian Eriksen,2021,0,90,MC,16734,2,Brentford,0.597923994064331,0
2022-05-02,0.07577180117368698,2,0,0.3358190059661865,0.35926100611686707,3,Brentford,0.07577180117368698,531709,0,Christian Eriksen,2021,0,90,MC,16722,3,Manchester United,0.30397000908851624,0
2022-04-23,0.11377900093793869,4,0,0.15068300068378448,0.26607900857925415,0,Tottenham,0.11377900093793869,528880,0,Christian Eriksen,2021,0,90,MC,16714,3,Brentford,0.08247470110654831,0
2022-04-16,0.048311199992895126,3,0,0.16829100251197815,1.0491900444030762,1,Brentford,0.048311199992895126,526442,1,Christian Eriksen,2021,2,90,MC,16698,3,Watford,0.10075099766254425,0
2022-04-10,0.06650009751319885,1,0,0.2556320130825043,0.06180490180850029,2,West Ham,0.06650009751319885,525125,0,Christian Eriksen,2021,0,90,MC,16693,2,Brentford,0.21583400666713715,0
2022-04-02,0.6687480211257935,3,1,1.1475199460983276,0.2041029930114746,1,Brentford,0.6687480211257935,522795,0,Christian Eriksen,2021,4,90,MC,16683,2,Chelsea,0.5203800201416016,1
2022-03-12,0.08363480120897293,2,0,0.6859620213508606,0.5749120116233826,2,Burnley,0.08363480120897293,519332,1,Christian Eriksen,2021,0,90,MC,16657,2,Brentford,0.027415499091148376,0
2022-03-05,0.04921279847621918,0,0,0.10024800151586533,0,1,Brentford,0.04921279847621918,517596,0,Christian Eriksen,2021,3,90,MC,16652,1,Norwich,0.05103529989719391,0
2022-02-26,0,1,0,0.2759220004081726,0.06513609737157822,0,Newcastle United,0,516003,0,Christian Eriksen,2021,2,35,Sub,16637,0,Brentford,0.2759220004081726,0
2021-05-23,0.19248899817466736,1,1,0.027760999277234077,0.02891089953482151,5,Udinese,0.19248899817466736,473235,0,Christian Eriksen,2020,1,52,Sub,15804,3,Inter,0,1
2021-05-15,0.03810200095176697,1,0,0.05349079892039299,0.05349079892039299,3,Inter,0.03810200095176697,471022,0,Christian Eriksen,2020,2,77,MC,15790,1,Juventus,0,0
2021-05-08,0,1,0,0.2293509989976883,0.04925160109996796,5,Sampdoria,0,468782,0,Christian Eriksen,2020,1,56,MC,15773,0,Inter,0.2293509989976883,0
2021-05-01,0.02007870003581047,1,1,0.08590339869260788,0.05414300039410591,0,Inter,0.02007870003581047,467093,0,Christian Eriksen,2020,2,23,Sub,15761,1,Crotone,0.06582470238208771,1
2021-04-25,0.07754500210285187,1,0,0.14646099507808685,0.013082600198686123,1,Verona,0.07754500210285187,465981,0,Christian Eriksen,2020,0,65,MC,15755,2,Inter,0.10512900352478027,0
2021-04-21,0,3,0,0.04327689856290817,0.09333469718694687,1,Inter,0,464602,0,Christian Eriksen,2020,1,74,MC,15740,0,Spezia,0.04327689856290817,0
2021-04-18,0.21765699982643127,1,1,0.1781429946422577,0.07349389791488647,1,Inter,0.21765699982643127,463968,0,Christian Eriksen,2020,1,85,MC,15729,5,Napoli,0,1
2021-04-11,0.1378840059041977,1,0,0.9731420278549194,0.040986500680446625,1,Cagliari,0.1378840059041977,461604,0,Christian Eriksen,2020,0,81,MC,15718,4,Inter,0.8547160029411316,0
2021-04-07,0,0,0,0.49196600914001465,0,2,Sassuolo,0,460733,0,Christian Eriksen,2020,1,59,MC,15703,0,Inter,0.49196600914001465,0
2021-04-03,0.04219600185751915,1,0,0.1567929983139038,0.03841229900717735,0,Inter,0.04219600185751915,459935,0,Christian Eriksen,2020,1,63,MC,15708,1,Bologna,0.1567929983139038,0
2021-03-14,0.10418900102376938,0,0,0.5954350233078003,0,1,Inter,0.10418900102376938,457059,0,Christian Eriksen,2020,2,33,Sub,15688,1,Torino,0.4912460148334503,0
2021-03-08,0,0,0,0,0,1,Atalanta,0,455585,0,Christian Eriksen,2020,0,36,Sub,15676,0,Inter,0,0
2021-03-04,0,0,0,0.5984179973602295,0,1,Inter,0,454242,0,Christian Eriksen,2020,2,70,MC,15666,0,Parma Calcio 1913,0.5984179973602295,0
2021-02-28,0.060274798423051834,3,0,1.3463599681854248,0.1657640039920807,3,Genoa,0.060274798423051834,453028,0,Christian Eriksen,2020,0,90,MC,15660,2,Inter,1.206760048866272,0
2021-02-21,0.0445249006152153,2,0,0.6592530012130737,0.60630202293396,0,Inter,0.0445249006152153,451196,0,Christian Eriksen,2020,3,79,MC,15648,2,AC Milan,0.6147279739379883,0
2021-02-14,0.014071299694478512,2,0,0.22497700154781342,0.14788900315761566,3,Lazio,0.014071299694478512,449936,0,Christian Eriksen,2020,1,75,MC,15641,1,Inter,0.0770886018872261,0
2021-01-30,0.04740320146083832,2,0,0.9986860156059265,0.34851598739624023,4,Benevento,0.04740320146083832,445886,0,Christian Eriksen,2020,0,90,MC,15624,2,Inter,0.6891409754753113,0
2021-01-06,0.1846179962158203,3,0,0.11771199852228165,0.19580300152301788,2,Inter,0.1846179962158203,440211,0,Christian Eriksen,2020,1,17,Sub,15583,4,Sampdoria,0,0
2020-12-13,0,2,0,0.21823599934577942,0.1813639998435974,1,Inter,0,433422,0,Christian Eriksen,2020,3,59,MC,15528,0,Cagliari,0.1022149994969368,0
2020-12-05,0,0,0,0,0,3,Bologna,0,431552,0,Christian Eriksen,2020,1,1,Sub,15518,0,Inter,0,0
2020-11-28,0,0,0,0,0,0,Inter,0,429460,0,Christian Eriksen,2020,3,4,Sub,15514,0,Sassuolo,0,0
2020-10-31,0,3,0,0.50142902135849,0.12639500200748444,2,Parma Calcio 1913,0,424618,0,Christian Eriksen,2020,2,60,AMC,15478,0,Inter,0.48022300004959106,0
2020-10-24,0,0,0,0.14015600085258484,0,0,Inter,0,422991,0,Christian Eriksen,2020,2,58,AMC,15470,0,Genoa,0.14015600085258484,0
2020-10-17,0,0,0,0.05973599851131439,0,1,AC Milan,0,421225,0,Christian Eriksen,2020,2,20,Sub,15457,0,Inter,0.05973599851131439,0
2020-09-30,0,0,0,0,0,2,Inter,0,418813,0,Christian Eriksen,2020,5,8,Sub,14133,0,Benevento,0,0
2020-09-26,0,2,0,0.39990299940109253,0.17141300439834595,4,Fiorentina,0,417650,0,Christian Eriksen,2020,3,66,AMC,14126,0,Inter,0.22848999500274658,0
2020-08-01,0,0,0,0,0,0,Inter,0,412143,0,Christian Eriksen,2019,2,1,Sub,13459,0,Atalanta,0,0
2020-07-28,0.029312899336218834,0,0,0,0,2,Napoli,0.029312899336218834,411722,0,Christian Eriksen,2019,0,1,Sub,13450,1,Inter,0,0
2020-07-25,0.16606099903583527,0,0,0.7925080060958862,0,0,Inter,0.16606099903583527,411161,0,Christian Eriksen,2019,3,65,AMC,13441,3,Genoa,0.626446008682251,0
2020-07-22,0.05544779822230339,4,0,0,0.8153660297393799,0,Fiorentina,0.05544779822230339,410994,0,Christian Eriksen,2019,0,90,AMC,13430,1,Inter,0,0
2020-07-19,0.03491729870438576,1,0,0.0873379036784172,0.030094299465417862,2,Inter,0.03491729870438576,410329,0,Christian Eriksen,2019,2,18,Sub,13427,1,Roma,0.057243600487709045,0
2020-07-16,0.11039300262928009,2,0,1.8307000398635864,0.07026959955692291,0,Inter,0.11039300262928009,409565,0,Christian Eriksen,2019,4,90,AMC,13412,2,SPAL 2013,1.691230058670044,0
