date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2023-04-15,0,0,0,0,0,2,Brentford,0,588391,0,2022,0,90,DC,18511,0,Wolverhampton Wanderers,0,0
2023-04-08,0.02810596488416195,0,0,0,0,1,Chelsea,0.02810596488416195,586689,0,2022,0,90,DC,18501,1,Wolverhampton Wanderers,0,0
2023-04-01,0,0,0,0.05251004919409752,0,1,Wolverhampton Wanderers,0,584690,0,2022,1,68,DC,18490,0,Nottingham Forest,0.05251004919409752,0
2023-03-18,0.1084146648645401,0,0,0,0,2,Leeds,0.1084146648645401,583106,0,2022,4,49,DC,18481,1,Wolverhampton Wanderers,0,0
2023-03-12,0,0,0,0.01502162590622902,0,2,Wolverhampton Wanderers,0,582160,0,2022,1,90,DC,18469,0,Newcastle United,0.01502162590622902,0
2023-03-04,0,0,0,0.1390230804681778,0,1,Tottenham,0,579514,0,2022,0,90,DC,18461,0,Wolverhampton Wanderers,0.1390230804681778,0
2023-03-01,0,0,0,0,0,2,Wolverhampton Wanderers,0,578984,0,2022,0,90,DC,18264,0,Liverpool,0,0
2023-02-24,0.08381369709968567,0,0,0.06867482513189316,0,1,Wolverhampton Wanderers,0.08381369709968567,577570,0,2022,1,90,DC,18445,1,Fulham,0.06867482513189316,0
2023-02-18,0.050309184938669205,0,0,0.3443991541862488,0,0,Bournemouth,0.050309184938669205,576352,0,2022,1,90,DC,18441,2,Wolverhampton Wanderers,0.3443991541862488,0
2023-02-11,0,0,0,0.18777798116207123,0,1,Wolverhampton Wanderers,0,574828,0,2022,2,90,DC,18430,0,Southampton,0.18777798116207123,0
2023-02-04,0.6526495814323425,1,1,0.5432531237602234,0.017038924619555473,3,Liverpool,0.6526495814323425,573247,0,2022,0,90,DC,18421,2,Wolverhampton Wanderers,0.5262141823768616,1
2023-01-04,0,0,0,0,0,2,West Ham,0,567433,0,2022,2,90,DC,18388,0,Leeds,0,0
2022-12-30,0.2926599979400635,0,0,0.202674999833107,0,0,Brentford,0.2926599979400635,566231,0,2022,2,90,DC,18380,4,West Ham,0.1919430047273636,0
2022-12-26,0,0,0,0,0,3,West Ham,0,565644,0,2022,1,90,DC,18362,0,Arsenal,0,0
2022-11-12,0,0,0,0.02391190081834793,0,0,Leicester,0,564446,0,2022,2,90,DC,18360,0,West Ham,0.02391190081834793,0
2022-11-06,0.04806059971451759,0,0,0.0336729995906353,0,1,Crystal Palace,0.04806059971451759,562721,0,2022,2,90,DC,18350,1,West Ham,0.0336729995906353,0
2022-10-30,0.03348280116915703,1,0,0.712693989276886,0.09086210280656815,1,West Ham,0.03348280116915703,561010,0,2022,0,90,DC,18340,1,Manchester United,0.5883489847183228,0
