date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2023-04-09,0.3324781060218811,1,0,1.0024224519729614,0.6699443459510803,2,Arsenal,0.3324781060218811,587618,0,2022,2,25,Sub,18497,1,Liverpool,0,0
2023-04-04,0.028679698705673218,1,0,0.05480286106467247,0.026123162358999252,0,Liverpool,0.028679698705673218,586087,0,2022,0,82,FWL,18281,2,Chelsea,0,0
2023-04-01,0,0,0,0,0,4,Liverpool,0,584391,0,2022,1,18,Sub,18488,0,Manchester City,0,0
2023-03-11,0.0208255834877491,0,0,0.08896605670452118,0,1,Liverpool,0.0208255834877491,580941,0,2022,0,67,FWL,18462,1,Bournemouth,0.06814047694206238,0
2023-03-05,1.3016096353530884,0,2,1.1721612215042114,0,7,Manchester United,1.3016096353530884,580373,0,2022,0,79,FWL,18457,4,Liverpool,0,2
2023-03-01,0.4036358892917633,3,0,1.158484697341919,0.4873672425746918,2,Wolverhampton Wanderers,0.4036358892917633,578976,0,2022,0,90,FWL,18264,3,Liverpool,0.6439967751502991,0
2023-02-18,0.44415271282196045,0,1,0.44415271282196045,0,0,Liverpool,0.44415271282196045,576625,0,2022,2,63,FWL,18438,2,Newcastle United,0,1
2023-02-13,0.333862841129303,2,0,0.9069979786872864,0.6649801135063171,2,Everton,0.333862841129303,575865,1,2022,0,72,FWL,18428,5,Liverpool,0.3626839518547058,0
2023-02-04,0.4361647069454193,1,0,0.5655791759490967,0.11511197686195374,3,Liverpool,0.4361647069454193,573270,0,2022,0,90,FW,18421,5,Wolverhampton Wanderers,0.014302530325949192,0
2023-01-21,0.10387001931667328,1,0,0.20955806970596313,0.10568805783987045,0,Chelsea,0.10387001931667328,569915,0,2022,0,23,Sub,18408,1,Liverpool,0,0
2023-01-02,0.872285008430481,0,0,1.4540400505065918,0,3,Liverpool,0.872285008430481,566923,0,2022,1,90,FW,18384,3,Brentford,0.6398950219154358,0
2022-12-30,0.7881799936294556,2,0,1.2914299964904785,0.5539129972457886,2,Leicester,0.7881799936294556,566266,0,2022,1,90,FW,18375,7,Liverpool,0.4365350008010864,0
2022-12-26,1.4403400421142578,1,0,1.1160800457000732,0.07610490173101425,1,Liverpool,1.4403400421142578,565620,0,2022,3,90,FW,18363,6,Aston Villa,0,0
2022-11-12,1.1359100341796875,2,2,1.8965200185775757,0.7606120109558105,3,Southampton,1.1359100341796875,564543,0,2022,1,89,FWL,18355,3,Liverpool,0.4376460015773773,2
2022-11-06,0.33201101422309875,2,0,0.928941011428833,0.5387300252914429,1,Liverpool,0.33201101422309875,562922,1,2022,2,87,FW,18349,4,Tottenham,0.19666700065135956,0
2022-10-29,0.41747599840164185,4,0,0.8048840165138245,0.48301899433135986,1,Leeds,0.41747599840164185,560418,0,2022,2,90,FW,18339,4,Liverpool,0.03104409947991371,0
2022-10-19,0.6671220064163208,0,1,0.6820340156555176,0,1,West Ham,0.6671220064163208,557530,0,2022,0,59,FW,18320,6,Liverpool,0.014912299811840057,1
2022-10-16,0.3739289939403534,1,0,0.8703070282936096,0.49637800455093384,1,Manchester City,0.3739289939403534,556889,0,2022,0,17,Sub,18307,3,Liverpool,0,0
2022-10-09,0.5407649874687195,0,1,0.5407649874687195,0,3,Liverpool,0.5407649874687195,555101,0,2022,2,90,FW,18292,3,Arsenal,0,1
2022-10-01,0.03932660073041916,0,0,0.03932660073041916,0,3,Brighton,0.03932660073041916,552343,0,2022,3,1,Sub,18288,1,Liverpool,0,0
2022-09-03,0.38014501333236694,2,0,0.38572800159454346,0.10436800122261047,0,Liverpool,0.38014501333236694,546868,0,2022,0,82,FW,18252,6,Everton,0,0
2022-08-15,0.8232129812240601,0,0,0.8600170016288757,0,1,Crystal Palace,0.8232129812240601,541881,0,2022,1,60,FW,18221,5,Liverpool,0.03680359944701195,0
2022-08-06,1.672700047492981,2,1,2.1642699241638184,0.49157100915908813,2,Liverpool,1.672700047492981,539208,1,2022,2,37,Sub,18203,4,Fulham,0,1
