date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2023-04-15,0,0,0,0,0,2,Bournemouth,0,588511,0,2022,3,90,GK,18509,0,Tottenham,0,0
2023-04-08,0,0,0,0.15922300517559052,0,2,Brighton,0,586719,0,2022,1,90,GK,18500,0,Tottenham,0.15922300517559052,0
2023-04-03,0,0,0,0.04046750068664551,0,1,Tottenham,0,585930,0,2022,1,90,GK,18487,0,Everton,0.04046750068664551,0
2023-02-05,0,0,0,0.0687531977891922,0,1,Manchester City,0,574044,0,2022,0,90,GK,18420,0,Tottenham,0.0687531977891922,0
2023-01-23,0,0,0,0,0,0,Tottenham,0,570977,0,2022,1,90,GK,18405,0,Fulham,0,0
2023-01-19,0,0,0,0.05332709848880768,0,4,Tottenham,0,569828,0,2022,2,90,GK,18267,0,Manchester City,0.05332709848880768,0
2023-01-15,0,0,0,0.12655100226402283,0,0,Arsenal,0,569565,0,2022,2,90,GK,18400,0,Tottenham,0.12655100226402283,0
2023-01-04,0,0,0,0.5728269815444946,0,0,Tottenham,0,567491,0,2022,4,90,GK,18386,0,Crystal Palace,0.5728269815444946,0
2023-01-01,0,0,0,0.06980709731578827,0,0,Aston Villa,0,566714,0,2022,2,90,GK,18379,0,Tottenham,0.06980709731578827,0
2022-11-12,0,0,0,0.4653159976005554,0,4,Leeds,0,564472,0,2022,3,90,GK,18359,0,Tottenham,0.4653159976005554,0
2022-11-06,0,0,0,0.29438599944114685,0,1,Liverpool,0,562898,0,2022,2,90,GK,18349,0,Tottenham,0.29438599944114685,0
2022-10-29,0,0,0,0.12857699394226074,0,2,Tottenham,0,560146,0,2022,3,90,GK,18333,0,Bournemouth,0.12857699394226074,0
2022-10-23,0,0,0,0.04811310023069382,0,1,Newcastle United,0,559151,0,2022,2,90,GK,18329,0,Tottenham,0.04811310023069382,0
2022-10-19,0,0,0,0.03435530140995979,0,2,Tottenham,0,557654,0,2022,0,90,GK,18321,0,Manchester United,0.03435530140995979,0
2022-10-15,0,0,0,0.8060910105705261,0,2,Everton,0,556172,0,2022,0,90,GK,18310,0,Tottenham,0.8060910105705261,0
2022-10-08,0,0,0,0.06315340101718903,0,0,Tottenham,0,554384,0,2022,1,90,GK,18294,0,Brighton,0.06315340101718903,0
2022-10-01,0,0,0,0,0,3,Tottenham,0,552005,0,2022,1,90,GK,18282,0,Arsenal,0,0
2022-09-17,0,0,0,0.025871500372886658,0,6,Leicester,0,550887,0,2022,2,90,GK,18278,0,Tottenham,0.025871500372886658,0
2022-09-03,0,0,0,0.2150450050830841,0,2,Fulham,0,547154,0,2022,1,90,GK,18255,0,Tottenham,0.2150450050830841,0
2022-08-31,0,0,0,0.06251309812068939,0,1,Tottenham,0,546420,0,2022,1,90,GK,18249,0,West Ham,0.06251309812068939,0
2022-08-28,0,0,0,0.035703498870134354,0,0,Tottenham,0,545402,0,2022,2,90,GK,18241,0,Nottingham Forest,0.035703498870134354,0
