date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2023-04-08,0.01765693724155426,1,0,0.033088382333517075,0.033088382333517075,2,Everton,0.01765693724155426,586397,0,2022,0,61,MC,18498,1,Manchester United,0.033088382333517075,0
2023-04-03,0.11254903674125671,1,0,0.17821012437343597,0.014630920253694057,1,Tottenham,0.11254903674125671,585920,0,2022,1,87,DMC,18487,2,Everton,0.051030173897743225,0
2023-03-18,0,0,0,0.05359905585646629,0,2,Everton,0,583282,0,2022,2,82,MC,18476,0,Chelsea,0.05359905585646629,0
2023-03-11,0.02431275136768818,1,0,0.21019022166728973,0.11528195440769196,1,Brentford,0.02431275136768818,581205,0,2022,0,90,MC,18464,1,Everton,0.07059551775455475,0
2023-03-05,0,0,0,0.16997398436069489,0,2,Everton,0,580116,0,2022,2,90,MC,18459,0,Nottingham Forest,0.16997398436069489,0
2023-03-01,0,0,0,0.13059571385383606,0,4,Everton,0,578959,0,2022,0,50,MC,18269,0,Arsenal,0.13059571385383606,0
2023-02-25,0,0,0,0,0,0,Aston Villa,0,577804,0,2022,2,90,DMC,18444,0,Everton,0,0
2023-02-18,0.0455474890768528,1,0,0.26213735342025757,0.06605943292379379,1,Leeds,0.0455474890768528,576424,0,2022,0,90,MC,18436,1,Everton,0.15053042769432068,0
2023-02-13,0.017389344051480293,0,0,0.27586477994918823,0,2,Everton,0.017389344051480293,575879,0,2022,0,90,MC,18428,1,Liverpool,0.27586477994918823,0
2023-02-04,0,0,0,0,0,1,Arsenal,0,572972,0,2022,0,90,MC,18416,0,Everton,0,0
2023-01-21,0.01762200891971588,0,0,0.01762200891971588,0,2,Everton,0.01762200891971588,570168,0,2022,0,90,MC,18411,1,West Ham,0,0
2023-01-14,0,0,0,0.06568964570760727,0,1,Southampton,0,568870,0,2022,2,84,MC,18396,0,Everton,0.06568964570760727,0
2023-01-03,0,0,0,0.09094809740781784,0,1,Brighton,0,567049,0,2022,4,66,MC,18387,0,Everton,0.09094809740781784,0
2022-12-31,0,2,0,0.07600189745426178,0.07600189745426178,1,Everton,0,566464,1,2022,1,81,MC,18376,0,Manchester City,0,0
2022-12-26,0,1,0,0.41416099667549133,0.41416099667549133,1,Wolverhampton Wanderers,0,565541,0,2022,2,85,MC,18367,0,Everton,0,0
2022-11-12,0,1,0,0.46593600511550903,0.075422503054142,3,Everton,0,564586,0,2022,0,90,MC,18352,0,Bournemouth,0.39051398634910583,0
2022-11-05,0,0,0,0.3797700107097626,0,0,Leicester,0,562162,0,2022,2,48,MC,18344,0,Everton,0.3797700107097626,0
2022-10-29,0,0,0,0.6024749875068665,0,0,Everton,0,560367,0,2022,0,66,DMC,18337,0,Fulham,0.6024749875068665,0
2022-10-22,0,1,0,0.5517060160636902,0.037344399839639664,3,Crystal Palace,0,558268,0,2022,0,89,DMC,18324,0,Everton,0.5517060160636902,0
2022-10-19,0,0,0,0,0,1,Everton,0,557571,0,2022,0,90,MC,18319,0,Newcastle United,0,0
2022-10-15,0,0,0,0.11302500218153,0,2,Everton,0,556196,0,2022,0,83,MC,18310,0,Tottenham,0.11302500218153,0
2022-10-09,0,0,0,0.11020699888467789,0,1,Manchester United,0,555238,0,2022,2,78,MC,18297,0,Everton,0.11020699888467789,0
2022-10-01,0,0,0,0.4043009877204895,0,1,Everton,0,552322,0,2022,2,90,MC,18290,0,Southampton,0.4043009877204895,0
2022-09-18,0,0,0,0.23627999424934387,0,1,West Ham,0,551387,0,2022,0,90,MC,18277,0,Everton,0.23627999424934387,0
2022-09-03,0,0,0,0.12906500697135925,0,0,Liverpool,0,546857,0,2022,0,26,Sub,18252,0,Everton,0.12906500697135925,0
2022-05-21,0.02052769996225834,0,0,0,0,5,Metz,0.02052769996225834,537545,0,2021,0,11,Sub,18197,1,Paris Saint Germain,0,0
