date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2023-04-25,0.6686369776725769,4,0,1.3416348695755005,0.8478744626045227,1,Leicester,0.6686369776725769,591492,1,James Maddison,2022,1,90,AMC,18523,2,Leeds,0.45158588886260986,0
2023-04-15,0.47850900888442993,2,0,0.8369439840316772,0.08851219713687897,3,Leicester,0.47850900888442993,588690,0,James Maddison,2022,1,90,AMC,18506,3,Manchester City,0.418410986661911,0
2023-04-08,0.09462910145521164,2,0,0.4508489966392517,0.030456600710749626,0,Bournemouth,0.09462910145521164,586813,0,James Maddison,2022,1,90,AMC,18496,3,Leicester,0.356220006942749,0
2023-04-04,0.04335710033774376,3,0,0.21167199313640594,0.28422701358795166,1,Aston Villa,0.04335710033774376,585982,0,James Maddison,2022,2,87,FWR,18263,1,Leicester,0.21167199313640594,0
2023-04-01,0.05331119894981384,0,0,0.05331119894981384,0,2,Leicester,0.05331119894981384,584726,0,James Maddison,2022,1,90,AMC,18486,1,Crystal Palace,0,0
2023-03-18,0.01444070041179657,3,0,0.4621939957141876,0.44775301218032837,1,Leicester,0.01444070041179657,583036,1,James Maddison,2022,1,90,AMC,18474,1,Brentford,0,0
2023-03-11,0.2608819901943207,3,0,0.2879590094089508,1.0074100494384766,1,Chelsea,0.2608819901943207,581296,0,James Maddison,2022,3,90,FWL,18467,5,Leicester,0.1598850041627884,0
2023-03-04,0.021424099802970886,4,0,0.3874090015888214,1.0491299629211426,1,Leicester,0.021424099802970886,579777,0,James Maddison,2022,0,90,AMC,18460,1,Southampton,0.3659850060939789,0
2023-02-19,0.15692700445652008,3,0,0.5894680023193359,0.17056800425052643,3,Leicester,0.15692700445652008,576958,0,James Maddison,2022,0,90,AMC,18437,6,Manchester United,0.43956100940704346,0
2023-02-11,0.49664801359176636,2,1,0.919858992099762,0.09668490290641785,4,Tottenham,0.49664801359176636,574940,1,James Maddison,2022,1,90,AMC,18427,3,Leicester,0.39048200845718384,1
2023-02-04,0.43109598755836487,2,1,1.2784099578857422,0.12721699476242065,2,Leicester,0.43109598755836487,573361,0,James Maddison,2022,4,70,AMC,18412,2,Aston Villa,0.7200980186462402,1
2023-01-21,0.08263619989156723,0,0,0,0,2,Brighton,0.08263619989156723,570186,0,James Maddison,2022,2,17,Sub,18407,1,Leicester,0,0
2022-11-12,0.09878580272197723,0,1,0.16030099987983704,0,0,Leicester,0.09878580272197723,564462,0,James Maddison,2022,2,24,MR,18360,1,West Ham,0.06151510030031204,1
2022-11-05,0.6100199818611145,4,0,1.1985399723052979,0.45624300837516785,0,Leicester,0.6100199818611145,562177,2,James Maddison,2022,2,90,MR,18344,8,Everton,0.15576300024986267,0
2022-10-29,0,5,0,0.16398699581623077,0.3669170141220093,0,Manchester City,0,559773,0,James Maddison,2022,1,90,FWR,18338,0,Leicester,0.06460809707641602,0
2022-10-23,0.11431699991226196,1,1,0.41971901059150696,0.03799470141530037,0,Leicester,0.11431699991226196,558890,0,James Maddison,2022,4,90,MR,18331,1,Wolverhampton Wanderers,0.3054029941558838,1
2022-10-15,0.24486799538135529,2,0,0.2450219988822937,0.08472239971160889,0,Crystal Palace,0.24486799538135529,555693,0,James Maddison,2022,0,90,MR,18306,4,Leicester,0.04099069908261299,0
2022-10-08,0.08837000280618668,2,0,0.7876530289649963,0.19053199887275696,2,Leicester,0.08837000280618668,554077,0,James Maddison,2022,1,90,MR,18293,2,Bournemouth,0.6757659912109375,0
2022-10-03,0.17910200357437134,4,2,0.4903160035610199,0.4117949903011322,4,Nottingham Forest,0.17910200357437134,553605,1,James Maddison,2022,0,86,MR,18287,3,Leicester,0.16860300302505493,2
2022-09-17,0.47712698578834534,4,1,0.60446697473526,0.12734000384807587,6,Leicester,0.47712698578834534,550908,0,James Maddison,2022,2,90,MR,18278,7,Tottenham,0.06374070048332214,1
2022-09-04,0,0,0,0,0,5,Leicester,0,547894,0,James Maddison,2022,2,90,MR,18259,0,Brighton,0,0
2022-09-01,0.15719400346279144,2,0,0.3702020049095154,0.04867609962821007,0,Manchester United,0.15719400346279144,546676,0,James Maddison,2022,1,90,MR,18251,3,Leicester,0.3138909935951233,0
2022-08-20,0.10344400256872177,1,1,0.07682710140943527,0.021375300362706184,1,Southampton,0.10344400256872177,542376,0,James Maddison,2022,2,90,MC,18226,2,Leicester,0,1
2022-08-13,0.12948699295520782,1,1,0.16990700364112854,0.0404197983443737,4,Leicester,0.12948699295520782,540668,0,James Maddison,2022,2,90,AMC,18217,2,Arsenal,0.06324879825115204,1
2022-08-07,0.2619229853153229,5,0,0.32414400577545166,0.13168199360370636,2,Brentford,0.2619229853153229,539832,1,James Maddison,2022,2,90,AMC,18210,6,Leicester,0.10935399681329727,0
2022-05-22,0.3207930028438568,3,1,0.8652510046958923,0.853987991809845,4,Southampton,0.3207930028438568,537861,1,James Maddison,2021,1,82,AMR,16752,1,Leicester,0.11930300295352936,1
2022-05-19,0.028410999104380608,1,1,0.041797198355197906,0.013386200182139874,1,Leicester,0.028410999104380608,536851,0,James Maddison,2021,1,90,MC,16639,1,Chelsea,0.013386200182139874,1
2022-05-15,0.47141799330711365,3,1,1.6598199605941772,0.3756659924983978,1,Leicester,0.47141799330711365,536072,2,James Maddison,2021,5,90,MR,16738,2,Watford,0.8127319812774658,1
2022-05-11,0.20038199424743652,2,1,0.9113649725914001,0.1406639963388443,3,Norwich,0.20038199424743652,534836,0,James Maddison,2021,0,90,AMC,16582,4,Leicester,0.6537230014801025,1
2022-04-23,0.10055200010538101,1,0,0.10238499939441681,0.028441699221730232,0,Aston Villa,0.10055200010538101,528674,0,James Maddison,2021,0,90,MR,16709,2,Leicester,0.07394369691610336,0
2022-04-20,0.3961249887943268,2,0,0.5880780220031738,0.17435699701309204,1,Leicester,0.3961249887943268,527878,0,James Maddison,2021,1,90,AMR,16547,5,Everton,0.05081750079989433,0
2022-04-17,0,0,0,0,0,2,Leicester,0,527026,0,James Maddison,2021,1,25,Sub,16701,0,Newcastle United,0,0
2022-04-10,0.33337199687957764,3,0,0.1684810072183609,0.17983800172805786,2,Crystal Palace,0.33337199687957764,525188,1,James Maddison,2021,1,90,FWR,16691,3,Leicester,0,0
2022-04-02,0,4,0,0.5399559736251831,0.4874269962310791,1,Leicester,0,523033,1,James Maddison,2021,1,90,AMR,16679,0,Manchester United,0.28907400369644165,0
