date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2023-04-22,0,1,0,0.03948742523789406,0.03948742523789406,0,Everton,0,590086,0,2022,0,72,MC,18516,0,Crystal Palace,0,0
2023-04-15,0.04022840037941933,0,0,0.04022840037941933,0,0,Crystal Palace,0.04022840037941933,588441,0,2022,2,86,MC,18508,1,Southampton,0,0
2023-04-09,0.5614299774169922,2,0,0.6283720135688782,0.8749409914016724,1,Crystal Palace,0.5614299774169922,587468,1,2022,5,82,MC,18495,2,Leeds,0.4957669973373413,0
2023-04-01,0,5,0,0.3543210029602051,0.27723801136016846,2,Leicester,0,584709,0,2022,1,83,MC,18486,0,Crystal Palace,0.2023639976978302,0
2023-03-19,0.5698310136795044,2,1,0.40121498703956604,0.3408389985561371,4,Crystal Palace,0.5698310136795044,583840,0,2022,1,85,AMC,18472,1,Arsenal,0.06037620082497597,1
2023-03-15,0.02359200082719326,0,0,0.42665499448776245,0,1,Crystal Palace,0.02359200082719326,582536,0,2022,0,81,MC,18276,1,Brighton,0.42665499448776245,0
2023-03-11,0,0,0,0,0,0,Manchester City,0,581450,0,2022,1,81,AML,18463,0,Crystal Palace,0,0
2023-02-25,0.07607729732990265,1,0,0.5555670261383057,0.4223180115222931,0,Liverpool,0.07607729732990265,578114,0,2022,0,72,AML,18443,1,Crystal Palace,0.057172201573848724,0
2023-02-18,0.08786190301179886,1,0,0.14427800476551056,0.021997300907969475,1,Crystal Palace,0.08786190301179886,576468,0,2022,1,90,ML,18433,1,Brentford,0.03441929817199707,0
2023-02-11,0,0,0,0,0,1,Brighton,0,574851,0,2022,1,73,AML,18424,0,Crystal Palace,0,0
2023-02-04,0.4797520041465759,0,1,0.10103599727153778,0,2,Crystal Palace,0.4797520041465759,573301,0,2022,1,85,AML,18417,2,Manchester United,0.08321020007133484,1
2023-01-21,0,0,0,0,0,0,Newcastle United,0,570324,0,2022,0,67,DMC,18404,0,Crystal Palace,0,0
2023-01-18,0,0,0,0,0,1,Manchester United,0,569797,0,2022,1,16,Sub,18270,0,Crystal Palace,0,0
2023-01-15,0.061051998287439346,0,0,0,0,1,Crystal Palace,0.061051998287439346,569430,0,2022,0,71,DMC,18395,1,Chelsea,0,0
2023-01-04,0,0,0,0.09342920035123825,0,0,Tottenham,0,567482,0,2022,4,62,DMC,18386,0,Crystal Palace,0.09342920035123825,0
