date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2023-04-08,0,0,0,0.14628486335277557,0,1,Manchester City,0,586977,0,2022,4,58,DMC,18499,0,Southampton,0.14628486335277557,0
2023-04-01,0,0,0,0.8844096064567566,0,4,Liverpool,0,584370,0,2022,1,90,DMC,18488,0,Manchester City,0.8844096064567566,0
2023-03-11,0,1,0,0.10517248511314392,0.01576516404747963,0,Manchester City,0,581457,0,2022,1,90,DR,18463,0,Crystal Palace,0.08940732479095459,0
2023-01-22,0,0,0,0.28690874576568604,0,3,Wolverhampton Wanderers,0,570569,0,2022,0,90,DC,18409,0,Manchester City,0.28690874576568604,0
2023-01-19,0,0,0,1.2221521139144897,0,4,Tottenham,0,569817,0,2022,2,90,DC,18267,0,Manchester City,1.2221521139144897,0
2023-01-05,0,0,0,1.381100058555603,0,0,Manchester City,0,567557,0,2022,1,90,DC,18385,0,Chelsea,1.381100058555603,0
2022-12-31,0.3165050148963928,0,0,0.054173801094293594,0,1,Everton,0.3165050148963928,566445,0,2022,1,90,DC,18376,1,Manchester City,0.054173801094293594,0
2022-12-28,0.06943970173597336,0,0,0.9932820200920105,0,1,Manchester City,0.06943970173597336,565910,0,2022,3,90,DC,18368,1,Leeds,0.9932820200920105,0
2022-11-12,0.18654699623584747,2,0,0.7179949879646301,0.038030799478292465,1,Brentford,0.18654699623584747,564200,0,2022,2,90,DR,18356,3,Manchester City,0.6049370169639587,0
2022-11-05,0,1,0,0.3570980131626129,0.045961398631334305,2,Fulham,0,561882,0,2022,1,90,DR,18346,0,Manchester City,0.31113600730895996,0
2022-10-29,0,0,0,0.2105250060558319,0,0,Manchester City,0,559780,0,2022,1,90,DR,18338,0,Leicester,0.2105250060558319,0
2022-09-17,0.013933899812400341,0,0,0.33608999848365784,0,0,Manchester City,0.013933899812400341,550443,0,2022,3,90,DR,18274,1,Wolverhampton Wanderers,0.33608999848365784,0
2022-09-03,0,0,0,1.109879970550537,0,1,Manchester City,0,547442,0,2022,1,90,DC,18258,0,Aston Villa,1.109879970550537,0
2022-08-31,0,1,0,0.08646350353956223,0.6953009963035583,6,Nottingham Forest,0,546313,1,2022,0,76,DC,18246,0,Manchester City,0.08646350353956223,0
2022-08-27,0.08240699768066406,1,0,1.490689992904663,0.5720340013504028,4,Crystal Palace,0.08240699768066406,544431,1,2022,2,90,DC,18237,1,Manchester City,1.490689992904663,0
2022-08-21,0,0,0,0.17487800121307373,0,3,Manchester City,0,543279,0,2022,3,90,DC,18230,0,Newcastle United,0.17487800121307373,0
2022-08-13,0,0,0,0,0,4,Bournemouth,0,540567,0,2022,0,22,Sub,18214,0,Manchester City,0,0
2022-05-22,0.1395539939403534,1,0,0.9075180292129517,0.03272930160164833,3,Aston Villa,0.1395539939403534,537913,0,2021,2,90,DR,16754,2,Manchester City,0.9075180292129517,0
2022-04-20,0.10565099865198135,0,0,0.3712109923362732,0,3,Brighton,0.10565099865198135,528096,0,2021,0,79,DC,16670,1,Manchester City,0.26556000113487244,0
2022-04-10,0,0,0,0.08075830340385437,0,2,Liverpool,0,525513,0,2021,2,90,DC,16690,0,Manchester City,0.08075830340385437,0
2022-03-14,0.013505400158464909,1,0,0.1297599971294403,0.030071699991822243,0,Manchester City,0.013505400158464909,520655,0,2021,0,90,DC,16660,1,Crystal Palace,0.11625500023365021,0
2022-03-06,0,1,0,0.44523200392723083,0.07655929774045944,4,Manchester United,0,518449,0,2021,1,90,DC,16650,0,Manchester City,0.44523200392723083,0
2022-02-26,0.03658900037407875,1,0,0.8274319767951965,0.02327119931578636,0,Manchester City,0.03658900037407875,516265,0,2021,1,90,DR,16641,1,Everton,0.7908430099487305,0
2022-02-09,0,0,0,0.21435299515724182,0,2,Brentford,0,512200,0,2021,0,90,DR,16615,0,Manchester City,0.21435299515724182,0
