date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2023-04-22,0,0,0,0.025729944929480553,0,2,Wolverhampton Wanderers,0,590154,0,2022,1,90,GK,18518,0,Leicester,0.025729944929480553,0
2023-04-15,0,0,0,0,0,2,Brentford,0,588389,0,2022,0,90,GK,18511,0,Wolverhampton Wanderers,0,0
2023-04-08,0,0,0,0,0,1,Chelsea,0,586687,0,2022,0,90,GK,18501,0,Wolverhampton Wanderers,0,0
2023-04-01,0,0,0,0,0,1,Wolverhampton Wanderers,0,584688,0,2022,1,90,GK,18490,0,Nottingham Forest,0,0
2023-03-18,0,0,0,0,0,2,Leeds,0,583104,0,2022,4,90,GK,18481,0,Wolverhampton Wanderers,0,0
2023-03-12,0,0,0,0,0,2,Wolverhampton Wanderers,0,582158,0,2022,1,90,GK,18469,0,Newcastle United,0,0
2023-03-04,0,0,0,0,0,1,Tottenham,0,579511,0,2022,0,90,GK,18461,0,Wolverhampton Wanderers,0,0
2023-03-01,0,0,0,0,0,2,Wolverhampton Wanderers,0,578981,0,2022,0,90,GK,18264,0,Liverpool,0,0
2023-02-24,0,0,0,0,0,1,Wolverhampton Wanderers,0,577567,0,2022,1,90,GK,18445,0,Fulham,0,0
2023-02-18,0,0,0,0.18594500422477722,0,0,Bournemouth,0,576350,0,2022,1,90,GK,18441,0,Wolverhampton Wanderers,0.18594500422477722,0
2023-02-11,0,0,0,0,0,1,Wolverhampton Wanderers,0,574826,0,2022,2,90,GK,18430,0,Southampton,0,0
2023-02-04,0,0,0,0,0,3,Liverpool,0,573245,0,2022,0,90,GK,18421,0,Wolverhampton Wanderers,0,0
2023-01-22,0,0,0,0,0,3,Wolverhampton Wanderers,0,570582,0,2022,0,90,GK,18409,0,Manchester City,0,0
2023-01-14,0,0,0,0,0,1,West Ham,0,568804,0,2022,0,90,GK,18401,0,Wolverhampton Wanderers,0,0
2023-01-04,0,0,0,0,0,1,Wolverhampton Wanderers,0,567522,0,2022,1,90,GK,18383,0,Aston Villa,0,0
2022-12-31,0,0,0,0.03181999921798706,0,0,Manchester United,0,566318,0,2022,1,90,GK,18381,0,Wolverhampton Wanderers,0.03181999921798706,0
2022-12-26,0,0,0,0.1061599999666214,0,1,Wolverhampton Wanderers,0,565549,0,2022,2,90,GK,18367,0,Everton,0.1061599999666214,0
2022-11-12,0,0,0,0,0,0,Arsenal,0,564779,0,2022,2,90,GK,18361,0,Wolverhampton Wanderers,0,0
2022-11-05,0,0,0,0,0,2,Brighton,0,561941,0,2022,3,90,GK,18351,0,Wolverhampton Wanderers,0,0
2022-10-29,0,0,0,0,0,1,Wolverhampton Wanderers,0,560119,0,2022,1,90,GK,18334,0,Brentford,0,0
2022-10-23,0,0,0,0.15243199467658997,0,0,Leicester,0,558869,0,2022,4,90,GK,18331,0,Wolverhampton Wanderers,0.15243199467658997,0
2022-10-18,0,0,0,0.41144898533821106,0,2,Wolverhampton Wanderers,0,557382,0,2022,1,90,GK,18318,0,Crystal Palace,0.41144898533821106,0
2022-10-15,0,0,0,0,0,1,Nottingham Forest,0,555929,0,2022,0,90,GK,18311,0,Wolverhampton Wanderers,0,0
2022-10-08,0,0,0,0.14315499365329742,0,3,Wolverhampton Wanderers,0,554165,0,2022,0,90,GK,18295,0,Chelsea,0.14315499365329742,0
2022-10-01,0,0,0,0.056189700961112976,0,2,Wolverhampton Wanderers,0,552622,0,2022,0,90,GK,18291,0,West Ham,0.056189700961112976,0
2022-09-17,0,0,0,0.05834149941802025,0,0,Manchester City,0,550427,0,2022,3,90,GK,18274,0,Wolverhampton Wanderers,0.05834149941802025,0
2022-09-03,0,0,0,0,0,1,Southampton,0,547183,0,2022,0,90,GK,18256,0,Wolverhampton Wanderers,0,0
2022-08-31,0,0,0,0.08001639693975449,0,0,Wolverhampton Wanderers,0,546296,0,2022,0,90,GK,18248,0,Bournemouth,0.08001639693975449,0
2022-08-28,0,0,0,0,0,1,Newcastle United,0,545078,0,2022,1,90,GK,18240,0,Wolverhampton Wanderers,0,0
2022-08-20,0,0,0,0.03681899979710579,0,1,Wolverhampton Wanderers,0,542135,0,2022,0,90,GK,18222,0,Tottenham,0.03681899979710579,0
2022-08-13,0,0,0,0,0,0,Fulham,0,540615,0,2022,0,90,GK,18216,0,Wolverhampton Wanderers,0,0
2022-08-06,0,0,0,0.017455799505114555,0,2,Wolverhampton Wanderers,0,539440,0,2022,1,90,GK,18205,0,Leeds,0.017455799505114555,0
2022-05-22,0,0,0,0.7683339715003967,0,3,Wolverhampton Wanderers,0,537898,0,2021,1,51,GK,16753,0,Liverpool,0.7683339715003967,0
2022-05-11,0,0,0,0,0,1,Manchester City,0,534885,0,2021,5,90,GK,16696,0,Wolverhampton Wanderers,0,0
2022-05-07,0,0,0,0,0,2,Wolverhampton Wanderers,0,534269,0,2021,2,90,GK,16731,0,Chelsea,0,0
2022-04-30,0,0,0,0.02550620026886463,0,0,Brighton,0,530472,0,2021,3,90,GK,16716,0,Wolverhampton Wanderers,0.02550620026886463,0
2022-04-24,0,0,0,0.032667700201272964,0,1,Wolverhampton Wanderers,0,529307,0,2021,0,90,GK,16712,0,Burnley,0.032667700201272964,0
2022-04-08,0,0,0,0,0,1,Wolverhampton Wanderers,0,524199,0,2021,0,90,GK,16689,0,Newcastle United,0,0
2022-04-02,0,0,0,0,0,2,Aston Villa,0,522831,0,2021,1,90,GK,16676,0,Wolverhampton Wanderers,0,0
2022-03-18,0,0,0,0.07608699798583984,0,2,Leeds,0,520928,0,2021,3,90,GK,16675,0,Wolverhampton Wanderers,0.07608699798583984,0
2022-03-13,0,0,0,0.09731289744377136,0,0,Wolverhampton Wanderers,0,519964,0,2021,1,90,GK,16661,0,Everton,0.09731289744377136,0
2022-03-10,0,0,0,0.07711239904165268,0,4,Watford,0,518883,0,2021,0,90,GK,16565,0,Wolverhampton Wanderers,0.07711239904165268,0
2022-03-05,0,0,0,0,0,0,Crystal Palace,0,517604,0,2021,2,90,GK,16655,0,Wolverhampton Wanderers,0,0
2022-02-27,0,0,0,0.0849808007478714,0,1,Wolverhampton Wanderers,0,516499,0,2021,0,90,GK,16645,0,West Ham,0.0849808007478714,0
2022-02-24,0,0,0,0.08431970328092575,0,2,Wolverhampton Wanderers,0,515410,0,2021,1,90,GK,16566,0,Arsenal,0.08431970328092575,0
2022-02-20,0,0,0,0,0,2,Leicester,0,514955,0,2021,1,90,GK,16635,0,Wolverhampton Wanderers,0,0
2022-02-13,0,0,0,0,0,0,Wolverhampton Wanderers,0,513315,0,2021,2,90,GK,16624,0,Tottenham,0,0
2022-02-10,0,0,0,0,0,0,Arsenal,0,512252,0,2021,1,90,GK,16611,0,Wolverhampton Wanderers,0,0
2022-01-22,0,0,0,0,0,1,Wolverhampton Wanderers,0,509799,0,2021,2,90,GK,16597,0,Brentford,0,0
2022-01-15,0,0,0,0.10881400108337402,0,3,Southampton,0,508136,0,2021,1,90,GK,16595,0,Wolverhampton Wanderers,0.10881400108337402,0
2022-01-03,0,0,0,0.025008900091052055,0,0,Wolverhampton Wanderers,0,505890,0,2021,1,90,GK,16583,0,Manchester United,0.025008900091052055,0
2021-12-19,0,0,0,0,0,0,Chelsea,0,503996,0,2021,0,90,GK,16555,0,Wolverhampton Wanderers,0,0
2021-12-15,0,0,0,0,0,0,Wolverhampton Wanderers,0,503287,0,2021,1,90,GK,16538,0,Brighton,0,0
2021-12-11,0,0,0,0,0,1,Wolverhampton Wanderers,0,501383,0,2021,0,90,GK,16534,0,Manchester City,0,0
2021-12-04,0,0,0,0,0,0,Liverpool,0,499914,0,2021,1,90,GK,16525,0,Wolverhampton Wanderers,0,0
2021-12-01,0,0,0,0.015162499621510506,0,0,Burnley,0,498972,0,2021,0,90,GK,16511,0,Wolverhampton Wanderers,0.015162499621510506,0
2021-11-27,0,0,0,0,0,0,Wolverhampton Wanderers,0,497387,0,2021,0,90,GK,16505,0,Norwich,0,0
2021-11-20,0,0,0,0.061167798936367035,0,1,West Ham,0,495757,0,2021,0,90,GK,16495,0,Wolverhampton Wanderers,0.061167798936367035,0
2021-11-06,0,0,0,0,0,2,Wolverhampton Wanderers,0,494035,0,2021,0,90,GK,16480,0,Crystal Palace,0,0
2021-11-01,0,0,0,0.046561699360609055,0,2,Everton,0,493482,0,2021,1,90,GK,16475,0,Wolverhampton Wanderers,0.046561699360609055,0
2021-10-23,0,1,0,0.0621739998459816,0.0621739998459816,1,Wolverhampton Wanderers,0,490006,0,2021,1,90,GK,16462,0,Leeds,0,0
2021-10-16,0,0,0,0,0,2,Wolverhampton Wanderers,0,488085,0,2021,3,90,GK,16447,0,Aston Villa,0,0
2021-10-02,0,0,0,0,0,2,Newcastle United,0,486518,0,2021,1,90,GK,16445,0,Wolverhampton Wanderers,0,0
