date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2023-04-01,0,0,0,0,0,4,Leeds,0,584791,0,2022,1,12,Sub,18482,0,Arsenal,0,0
2023-02-05,0,0,0,0.025730350986123085,0,1,Leeds,0,573845,0,2022,0,90,DC,18419,0,Nottingham Forest,0.025730350986123085,0
2023-01-13,0,0,0,0.9954774379730225,0,2,Leeds,0,568640,0,2022,1,90,DC,18392,0,Aston Villa,0.9954774379730225,0
2023-01-04,0.36957600712776184,1,0,0.11825399845838547,0.05464300140738487,2,West Ham,0.36957600712776184,567418,0,2022,2,90,DC,18388,3,Leeds,0.11825399845838547,0
2022-12-31,0,0,0,0.018617799505591393,0,0,Leeds,0,566399,0,2022,0,90,DC,18377,0,Newcastle United,0.018617799505591393,0
2022-12-28,0,0,0,0.020966600626707077,0,1,Manchester City,0,565894,0,2022,3,74,DC,18368,0,Leeds,0.020966600626707077,0
2022-11-12,0,0,0,0.30469200015068054,0,4,Leeds,0,564490,0,2022,3,90,DC,18359,0,Tottenham,0.30469200015068054,0
2022-11-05,0.11421400308609009,0,1,0.6764370203018188,0,4,Bournemouth,0.11421400308609009,561855,0,2022,3,90,DC,18345,2,Leeds,0.6764370203018188,1
2022-10-29,0,0,0,0.3706110119819641,0,1,Leeds,0,560425,0,2022,2,90,DC,18339,0,Liverpool,0.3706110119819641,0
2022-10-23,0.050381798297166824,1,0,0.1465270072221756,0.07856330275535583,2,Fulham,0.050381798297166824,558814,0,2022,3,90,DC,18325,1,Leeds,0.09614560008049011,0
2022-10-20,0.37685200572013855,1,0,0,0.06549490243196487,2,Leeds,0.37685200572013855,557826,0,2022,0,42,Sub,18317,2,Leicester,0,0
2022-10-16,0,1,0,0.09844859689474106,0.11412999778985977,0,Arsenal,0,556760,0,2022,1,90,DC,18305,0,Leeds,0.09844859689474106,0
2022-10-09,0,0,0,0,0,2,Leeds,0,554726,0,2022,1,90,DC,18296,0,Crystal Palace,0,0
2022-10-02,0.02866639941930771,0,0,0.10746899992227554,0,0,Aston Villa,0.02866639941930771,553294,0,2022,0,90,DC,18286,1,Leeds,0.10746899992227554,0
2022-05-22,0,0,0,0.13166600465774536,0,1,Leeds,0,537705,0,2021,2,90,DC,16747,0,Brentford,0.13166600465774536,0
2022-05-15,0.043390098959207535,0,0,0.17729300260543823,0,1,Brighton,0.043390098959207535,536083,0,2021,1,90,DC,16743,1,Leeds,0.17729300260543823,0
2022-05-11,0,0,0,0,0,0,Chelsea,0,534745,0,2021,3,90,DC,16703,0,Leeds,0,0
2022-04-25,0.058758001774549484,1,0,0.12342199683189392,0.04916569963097572,0,Leeds,0.058758001774549484,529882,0,2021,0,90,DC,16710,1,Crystal Palace,0.07425650209188461,0
2022-04-09,0,0,0,0,0,0,Leeds,0,524648,0,2021,3,90,DC,16686,0,Watford,0,0
2022-04-02,0,0,0,0.09961389750242233,0,1,Southampton,0,522806,0,2021,1,90,DC,16681,0,Leeds,0.09961389750242233,0
2021-12-05,0,0,0,0,0,2,Brentford,0,500481,0,2021,2,14,DC,16518,0,Leeds,0,0
2021-11-30,0.03430720046162605,0,0,0.8510280251502991,0,1,Crystal Palace,0.03430720046162605,498732,0,2021,0,90,DC,16508,1,Leeds,0.8510280251502991,0
2021-11-27,0,0,0,0.07970640063285828,0,0,Leeds,0,497591,0,2021,0,90,DC,16498,0,Brighton,0.07970640063285828,0
2021-11-21,0,0,0,0.7307130098342896,0,2,Leeds,0,496614,0,2021,1,90,DC,16493,0,Tottenham,0.7307130098342896,0
2021-11-07,0,0,0,0.045910999178886414,0,1,Leicester,0,494616,0,2021,1,90,DC,16482,0,Leeds,0.045910999178886414,0
2021-10-31,0,0,0,0.0839305967092514,0,1,Leeds,0,492829,0,2021,2,90,DC,16472,0,Norwich,0.0839305967092514,0
2021-10-23,0.09016019850969315,0,0,0.4266810119152069,0,1,Wolverhampton Wanderers,0.09016019850969315,489995,0,2021,1,90,DC,16462,1,Leeds,0.4266810119152069,0
2021-10-16,0,0,0,0,0,1,Leeds,0,488200,0,2021,0,90,DC,16454,0,Southampton,0,0
2021-10-02,0,0,0,0.10662700235843658,0,1,Watford,0,486438,0,2021,0,90,DC,16440,0,Leeds,0.10662700235843658,0
2021-09-25,0,0,0,0.17573000490665436,0,1,West Ham,0,484729,0,2021,2,90,DC,16429,0,Leeds,0.17573000490665436,0
2021-09-17,0,1,0,0.29008400440216064,0.028779400512576103,1,Leeds,0,481712,0,2021,1,90,DC,16416,0,Newcastle United,0.2613050043582916,0
2021-09-12,0,0,0,0.02605219930410385,0,0,Liverpool,0,481177,0,2021,3,90,DC,16414,0,Leeds,0.02605219930410385,0
2021-08-29,0.028174100443720818,0,0,0.053520601242780685,0,1,Leeds,0.028174100443720818,479550,0,2021,1,90,DC,16403,1,Burnley,0.053520601242780685,0
2021-08-21,0.02535099908709526,1,0,0,0.035999901592731476,2,Everton,0.02535099908709526,476987,1,2021,2,90,DC,16390,1,Leeds,0,0
2021-08-14,0,1,0,0,0.018221000209450722,5,Leeds,0,475279,0,2021,1,90,DC,16377,0,Manchester United,0,0
2021-05-23,0,0,0,0.34599199891090393,0,3,West Bromwich Albion,0,473311,0,2020,1,90,DC,14808,0,Leeds,0.34599199891090393,0
2021-05-18,0,0,0,0.6837310194969177,0,0,Leeds,0,472336,0,2020,2,90,DC,14802,0,Southampton,0.6837310194969177,0
