date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2023-01-21,0.40400999784469604,1,1,0.5635859966278076,0.05527549982070923,2,Brighton,0.40400999784469604,570187,0,Marc Albrighton,2022,2,56,Sub,18407,1,Leicester,0.15957599878311157,1
2023-01-14,0,2,0,0.6387529969215393,0.3849959969520569,2,Leicester,0,568797,0,Marc Albrighton,2022,0,69,AMR,18399,0,Nottingham Forest,0.6387529969215393,0
2023-01-03,0,3,0,0.8900359869003296,0.1309179961681366,0,Fulham,0,567002,0,Marc Albrighton,2022,1,83,Sub,18389,0,Leicester,0.8730149865150452,0
2022-11-05,0,0,0,0,0,0,Leicester,0,562185,0,Marc Albrighton,2022,2,10,Sub,18344,0,Everton,0,0
2022-10-23,0.03799470141530037,0,0,0,0,0,Leicester,0.03799470141530037,558897,0,Marc Albrighton,2022,4,10,Sub,18331,1,Wolverhampton Wanderers,0,0
2022-10-03,0,0,0,0,0,4,Nottingham Forest,0,553613,0,Marc Albrighton,2022,0,4,Sub,18287,0,Leicester,0,0
2022-05-15,0,1,0,0.3227840065956116,0.3227840065956116,1,Leicester,0,536079,1,Marc Albrighton,2021,5,40,Sub,16738,0,Watford,0,0
2022-05-01,0,0,0,0.13773299753665924,0,3,Leicester,0,531033,0,Marc Albrighton,2021,1,90,DMR,16719,0,Tottenham,0.13773299753665924,0
2022-03-13,0.07279810309410095,1,0,0.07279810309410095,0.09894859790802002,2,Leicester,0.07279810309410095,520352,0,Marc Albrighton,2021,0,90,AMR,16656,1,Arsenal,0,0
2022-03-05,0,2,0,0.10791800171136856,0.11522500216960907,1,Leeds,0,517259,0,Marc Albrighton,2021,0,90,FWR,16648,0,Leicester,0.0866703987121582,0
2022-03-01,0,1,0,0.12858499586582184,0.06870699673891068,0,Leicester,0,517088,0,Marc Albrighton,2021,2,90,FWR,16588,0,Burnley,0.05987749993801117,0
2022-02-20,0,2,0,0.9828760027885437,0.9245759844779968,2,Leicester,0,514977,1,Marc Albrighton,2021,1,90,FWR,16635,0,Wolverhampton Wanderers,0.9497590065002441,0
2022-02-10,0,0,0,0.05360009893774986,0,2,Leicester,0,512301,0,Marc Albrighton,2021,0,90,AMR,16614,0,Liverpool,0.05360009893774986,0
2022-01-23,0,0,0,0,0,1,Brighton,0,510215,0,Marc Albrighton,2021,1,24,Sub,16602,0,Leicester,0,0
2022-01-19,0,0,0,0.38435599207878113,0,2,Tottenham,0,509161,0,Marc Albrighton,2021,3,90,DMR,16540,0,Leicester,0.38435599207878113,0
2021-12-28,0,0,0,0,0,1,Liverpool,0,505325,0,Marc Albrighton,2021,0,21,Sub,16573,0,Leicester,0,0
2021-12-26,0.3552190065383911,1,0,0.43260499835014343,0.02765830047428608,6,Leicester,0.3552190065383911,505106,0,Marc Albrighton,2021,3,90,DR,16560,2,Manchester City,0.0773862972855568,0
2021-12-12,0,0,0,0.1197889968752861,0,4,Newcastle United,0,502257,0,Marc Albrighton,2021,0,17,Sub,16532,0,Leicester,0.1197889968752861,0
2021-11-28,0,0,0,0,0,4,Watford,0,498053,0,Marc Albrighton,2021,2,13,Sub,16502,0,Leicester,0,0
2021-11-20,0,1,0,0.47551700472831726,0.009345619939267635,0,Chelsea,0,495373,0,Marc Albrighton,2021,3,90,DMR,16488,0,Leicester,0.466170996427536,0
2021-10-03,0,0,0,0,0,2,Leicester,0,487018,0,Marc Albrighton,2021,2,8,Sub,16439,0,Crystal Palace,0,0
2021-09-11,0,2,0,0.6101639866828918,0.12747299671173096,0,Manchester City,0,480378,0,Marc Albrighton,2021,1,90,MR,16409,0,Leicester,0.5214459896087646,0
2021-08-28,0.05954829975962639,0,1,0.1729689985513687,0,1,Leicester,0.05954829975962639,478877,0,Marc Albrighton,2021,2,90,MR,16398,1,Norwich,0.1134210005402565,1
2021-05-23,0.02470559999346733,1,0,0.09142810106277466,0.06672249734401703,2,Tottenham,0.02470559999346733,473340,0,Marc Albrighton,2020,4,82,MR,14809,1,Leicester,0.06672249734401703,0
2021-05-18,0,0,0,0,0,2,Leicester,0,472423,0,Marc Albrighton,2020,1,69,DMR,14797,0,Chelsea,0,0
2021-05-11,0,3,0,0.17612099647521973,0.2978760004043579,1,Leicester,0,469914,1,Marc Albrighton,2020,2,90,MR,14788,0,Manchester United,0.08142349869012833,0
2021-05-07,0.08278950303792953,5,1,0.2582089900970459,0.17541900277137756,2,Newcastle United,0.08278950303792953,468272,0,Marc Albrighton,2020,4,90,ML,14779,1,Leicester,0.05267789959907532,1
2021-04-30,0.018278099596500397,1,0,1.0258599519729614,0.5259910225868225,1,Leicester,0.018278099596500397,466704,0,Marc Albrighton,2020,1,18,Sub,14772,1,Southampton,1.0258599519729614,0
2021-04-26,0,0,0,0.05263160169124603,0,2,Crystal Palace,0,466539,0,Marc Albrighton,2020,1,18,Sub,14759,0,Leicester,0.05263160169124603,0
2021-04-22,0,1,0,0.029719799757003784,0.029719799757003784,3,West Bromwich Albion,0,464866,0,Marc Albrighton,2020,0,26,Sub,14750,0,Leicester,0,0
2021-04-11,0.04907559975981712,3,0,0.2649810016155243,0.19457699358463287,3,Leicester,0.04907559975981712,461896,0,Marc Albrighton,2020,2,29,Sub,14744,1,West Ham,0.08027879893779755,0
2021-04-03,0,1,0,0.025461599230766296,0.025461599230766296,0,Manchester City,0,459858,0,Marc Albrighton,2020,2,72,MR,14730,0,Leicester,0,0
2021-03-14,0,1,0,0.6926069855690002,0.07286760210990906,5,Sheffield United,0,456872,1,Marc Albrighton,2020,0,43,Sub,14710,0,Leicester,0.6197389960289001,0
2021-03-06,0,1,0,0,0.42016300559043884,1,Leicester,0,454925,1,Marc Albrighton,2020,2,18,Sub,14696,0,Brighton,0,0
2021-03-03,0.06676259636878967,2,0,0.2988260090351105,0.14919400215148926,1,Leicester,0.06676259636878967,453780,0,Marc Albrighton,2020,1,22,Sub,14716,2,Burnley,0.23206299543380737,0
2021-02-28,0.058178599923849106,2,0,0.170523002743721,0.11234399676322937,1,Arsenal,0.058178599923849106,452708,0,Marc Albrighton,2020,3,40,Sub,14690,1,Leicester,0,0
2021-02-13,0,0,0,0.3213140070438385,0,3,Liverpool,0,448828,0,Marc Albrighton,2020,1,75,AMR,14670,0,Leicester,0.3213140070438385,0
2021-02-07,0.022541599348187447,2,0,0.04507619887590408,0.08134590089321136,0,Leicester,0.022541599348187447,448342,0,Marc Albrighton,2020,0,28,Sub,14664,1,Wolverhampton Wanderers,0.022541599348187447,0
2021-02-03,0,0,0,0,0,0,Leicester,0,446977,0,Marc Albrighton,2020,2,28,Sub,14647,0,Fulham,0,0
2021-01-31,0.4499469995498657,0,0,0.4499469995498657,0,1,Leeds,0.4499469995498657,446118,0,Marc Albrighton,2020,3,49,AMR,14643,3,Leicester,0.4129439890384674,0
2021-01-27,0.08263769745826721,0,0,0.08263769745826721,0,1,Leicester,0.08263769745826721,445194,0,Marc Albrighton,2020,1,71,AMR,14627,2,Everton,0,0
2021-01-19,0.019948000088334084,3,0,0.7746350169181824,0.732134997844696,2,Chelsea,0.019948000088334084,443277,1,Marc Albrighton,2020,0,79,MR,14609,1,Leicester,0.33077698945999146,0
2021-01-16,0,3,0,0.4559980034828186,0.2337770015001297,2,Southampton,0,442483,0,Marc Albrighton,2020,0,90,AMR,14619,0,Leicester,0.2222210019826889,0
2021-01-03,0,1,0,0.4630590081214905,0.06734210252761841,1,Leicester,0,439632,1,Marc Albrighton,2020,2,90,AMR,14597,0,Newcastle United,0.39571699500083923,0
