date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2023-04-09,0.030986472964286804,0,0,0.05559030920267105,0,2,Arsenal,0.030986472964286804,587625,0,2022,2,84,MC,18497,1,Liverpool,0.024603836238384247,0
2023-04-01,0,2,0,0.9053714871406555,0.32248544692993164,4,Leeds,0,584766,1,2022,1,89,MC,18482,0,Arsenal,0.9053714871406555,0
2023-03-19,0.19017258286476135,1,0,0.31110909581184387,0.0630350410938263,4,Crystal Palace,0.19017258286476135,583822,0,2022,1,90,MC,18472,3,Arsenal,0.12093652039766312,0
2023-03-12,0.28088265657424927,2,1,1.133726954460144,0.23096448183059692,0,Arsenal,0.28088265657424927,582039,0,2022,3,90,MC,18465,3,Fulham,0.6494303345680237,1
2023-03-04,0.5301088690757751,3,0,0.5418349504470825,0.09395010024309158,3,Bournemouth,0.5301088690757751,579608,0,2022,2,90,MC,18452,11,Arsenal,0.21047009527683258,0
2023-03-01,0.5796767473220825,2,1,1.6429972648620605,0.11621008068323135,4,Everton,0.5796767473220825,578941,0,2022,0,90,MC,18269,2,Arsenal,0.9471104741096497,1
2023-02-25,0.1813109964132309,3,0,0.25787603855133057,0.15608373284339905,0,Arsenal,0.1813109964132309,577878,0,2022,1,86,MC,18447,3,Leicester,0.09682580083608627,0
2023-02-18,0.35654789209365845,7,0,0.8575122356414795,0.840089738368988,2,Arsenal,0.35654789209365845,576123,1,2022,4,90,MC,18432,1,Aston Villa,0.42980366945266724,0
2023-02-15,0.05335071310400963,1,0,0.3254014253616333,0.012009384110569954,1,Manchester City,0.05335071310400963,575923,0,2022,3,90,MC,18312,2,Arsenal,0.2767922878265381,0
2023-02-11,0.10249274224042892,2,0,0.9723371267318726,0.07706280797719955,1,Brentford,0.10249274224042892,574789,0,2022,1,90,MC,18422,2,Arsenal,0.7927815318107605,0
2023-02-04,0.0913318619132042,2,0,0.19670319557189941,0.09370126575231552,1,Arsenal,0.0913318619132042,572982,0,2022,0,80,MC,18416,1,Everton,0.03956642001867294,0
2023-01-22,0.44643256068229675,1,0,1.385013461112976,0.06694955378770828,3,Manchester United,0.44643256068229675,570726,0,2022,2,90,MC,18402,6,Arsenal,0.8716313242912292,0
2023-01-15,0.12420686334371567,2,1,0.5631271600723267,0.11780806630849838,0,Arsenal,0.12420686334371567,569587,0,2022,2,90,MC,18400,3,Tottenham,0.49388155341148376,1
2023-01-03,0.16225500404834747,3,0,0.5173450112342834,0.24099700152873993,0,Newcastle United,0.16225500404834747,567023,0,2022,0,90,MC,18382,2,Arsenal,0.355089008808136,0
2022-12-31,0.06089939922094345,3,1,0.7617939710617065,0.99064701795578,2,Arsenal,0.06089939922094345,566583,1,2022,4,90,MC,18373,1,Brighton,0.18278299272060394,1
2022-12-26,0.3372820019721985,5,0,1.2150299549102783,0.8775860071182251,3,West Ham,0.3372820019721985,565633,2,2022,1,90,MC,18362,6,Arsenal,0.0954580008983612,0
2022-11-12,1.4377399682998657,0,2,1.5688300132751465,0,0,Arsenal,1.4377399682998657,564799,0,2022,2,90,MC,18361,3,Wolverhampton Wanderers,0.13108199834823608,2
2022-11-06,0.09523139894008636,2,0,0.41932299733161926,0.15308700501918793,0,Arsenal,0.09523139894008636,562365,0,2022,1,88,MC,18343,1,Chelsea,0.2981809973716736,0
2022-10-30,0.20760799944400787,5,1,1.4035600423812866,0.7267490029335022,5,Nottingham Forest,0.20760799944400787,560752,0,2022,0,90,MC,18332,3,Arsenal,0.6657609939575195,1
2022-10-23,0.058017801493406296,4,0,0.9646700024604797,0.8456299901008606,1,Arsenal,0.058017801493406296,558861,0,2022,1,85,MC,18328,1,Southampton,0.4518289864063263,0
2022-10-16,0.18479199707508087,2,0,0.5880169868469238,0.44510799646377563,0,Arsenal,0.18479199707508087,556780,1,2022,1,74,AMC,18305,4,Leeds,0.37689799070358276,0
2022-10-09,0.19210000336170197,1,0,0.649590015411377,0.457489013671875,3,Liverpool,0.19210000336170197,555085,1,2022,2,88,AMC,18292,2,Arsenal,0,0
2022-10-01,0.10817799717187881,2,0,0.8576729893684387,0.3267669975757599,3,Tottenham,0.10817799717187881,551997,0,2022,1,82,AMC,18282,3,Arsenal,0.4227280020713806,0
2022-09-04,0.1172650009393692,4,0,0.5070180296897888,0.371957004070282,3,Arsenal,0.1172650009393692,548112,0,2022,1,77,AMC,18261,1,Manchester United,0.37369298934936523,0
2022-08-31,0.27729201316833496,3,0,0.8224570155143738,0.1917099952697754,2,Aston Villa,0.27729201316833496,546261,0,2022,1,83,AMC,18247,3,Arsenal,0.5998319983482361,0
2022-08-27,0.1522749960422516,2,1,0.9934239983558655,0.15210500359535217,2,Fulham,0.1522749960422516,544651,0,2022,1,90,AMC,18238,3,Arsenal,0.8411499857902527,1
2022-08-20,0.6651219725608826,0,2,1.00872004032135,0,0,Arsenal,0.6651219725608826,542570,0,2022,3,76,AMC,18227,3,Bournemouth,0.36717501282691956,2
2022-08-13,0.04594879969954491,1,0,0.8723620176315308,0.0708928033709526,4,Leicester,0.04594879969954491,540652,0,2022,2,90,AMC,18217,1,Arsenal,0.7555199861526489,0
2022-08-05,0.11073599755764008,0,0,0.16009600460529327,0,0,Arsenal,0.11073599755764008,539145,0,2022,2,90,AMC,18202,2,Crystal Palace,0.09606440365314484,0
2022-05-22,0.22353599965572357,5,1,0.8161119818687439,0.2885740101337433,5,Everton,0.22353599965572357,537834,0,2021,1,90,AMC,16746,3,Arsenal,0.41489699482917786,1
2022-05-16,0.08661670237779617,3,0,0.2660309970378876,0.12635700404644012,2,Arsenal,0.08661670237779617,536739,0,2021,0,90,AMC,16741,1,Newcastle United,0.07054530084133148,0
2022-05-12,0.18797199428081512,1,0,0.252267986536026,0.026660200208425522,3,Arsenal,0.18797199428081512,535030,0,2021,0,90,AMC,16593,4,Tottenham,0.053390100598335266,0
2022-05-08,0.25418999791145325,3,0,0.48185500502586365,0.1992029994726181,2,Leeds,0.25418999791145325,533458,0,2021,1,90,MC,16735,3,Arsenal,0.2961620092391968,0
2022-05-01,0,3,0,0.22483700513839722,0.17431199550628662,1,Arsenal,0,531340,0,2021,2,90,MC,16717,0,West Ham,0.05052490159869194,0
2022-04-23,0.10543700307607651,2,0,0.6098920106887817,0.5018690228462219,3,Manchester United,0.10543700307607651,528377,0,2021,1,90,AMC,16715,2,Arsenal,0.11396200209856033,0
