date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2023-04-08,0.014559057541191578,0,0,0.014559057541191578,0,1,Manchester City,0.014559057541191578,586962,0,2022,4,63,MC,18499,1,Southampton,0,0
2023-04-02,0,0,0,0,0,1,Southampton,0,585282,0,2022,0,58,ML,18491,0,West Ham,0,0
2023-03-18,0.026759441941976547,1,0,0.2181345373392105,0.08840544521808624,3,Tottenham,0.026759441941976547,583081,0,2022,3,77,ML,18480,1,Southampton,0.10296964645385742,0
2023-03-15,0,0,0,0.10390458256006241,0,0,Brentford,0,582492,0,2022,2,61,AMR,18265,0,Southampton,0.10390458256006241,0
2023-03-04,0,0,0,0.025149045512080193,0,1,Leicester,0,579766,0,2022,0,36,Sub,18460,0,Southampton,0.025149045512080193,0
2023-02-25,0,2,0,0.12724776566028595,0.048088107258081436,1,Southampton,0,577848,0,2022,0,82,ML,18446,0,Leeds,0.07915966212749481,0
2023-02-18,0.024125482887029648,0,0,0.0673983246088028,0,0,Southampton,0.024125482887029648,576407,0,2022,1,90,ML,18435,1,Chelsea,0.0673983246088028,0
2023-02-04,0,0,0,0,0,3,Southampton,0,573238,0,2022,0,49,AML,18413,0,Brentford,0,0
2023-01-21,0,1,0,0.5417836308479309,0.042172905057668686,0,Aston Villa,0,570217,0,2022,1,26,Sub,18410,0,Southampton,0.49961069226264954,0
2023-01-14,0.12076519429683685,1,0,0.2208399623632431,0.10007476806640625,1,Southampton,0.12076519429683685,568879,0,2022,2,87,MR,18396,2,Everton,0.10007476806640625,0
2023-01-04,0.11408799886703491,0,0,0.040824100375175476,0,0,Nottingham Forest,0.11408799886703491,567357,0,2022,1,90,MC,18391,1,Southampton,0.040824100375175476,0
2022-12-31,0.020236799493432045,2,0,0.45266300439834595,0.3523379862308502,2,Southampton,0.020236799493432045,566432,0,2022,1,90,MC,18374,1,Fulham,0.08008760213851929,0
2022-12-26,0.1567939966917038,1,0,0.19115400314331055,0.04094640165567398,1,Brighton,0.1567939966917038,565481,0,2022,3,78,AMC,18371,3,Southampton,0.0989060029387474,0
2022-11-12,0.2496899962425232,3,0,0.9719489812850952,0.2148289978504181,3,Southampton,0.2496899962425232,564556,0,2022,1,90,AMR,18355,1,Liverpool,0.722258985042572,0
2022-11-06,0.7291259765625,1,0,0.8325390219688416,0.08489129692316055,1,Newcastle United,0.7291259765625,562631,0,2022,4,90,AML,18348,4,Southampton,0.01852170005440712,0
2022-10-29,0.0915507972240448,0,0,0.4655210077762604,0,1,Southampton,0.0915507972240448,560030,0,2022,0,76,MR,18336,1,Crystal Palace,0.37397000193595886,0
2022-10-23,0,2,0,0.4732449948787689,0.4235660135746002,1,Arsenal,0,558846,1,2022,1,90,MR,18328,0,Southampton,0.4732449948787689,0
2022-10-19,0.06443560123443604,0,0,0.3194830119609833,0,0,Southampton,0.06443560123443604,557509,0,2022,1,90,MR,18313,1,Bournemouth,0.255048006772995,0
2022-10-16,0.14661100506782532,1,0,0.36426201462745667,0.21765099465847015,1,West Ham,0.14661100506782532,556673,0,2022,1,90,ML,18309,3,Southampton,0,0
2022-10-08,0.015113499946892262,0,0,0.015113499946892262,0,4,Southampton,0.015113499946892262,554147,0,2022,0,22,Sub,18298,1,Manchester City,0,0
2022-10-01,0,0,0,0,0,1,Everton,0,552312,0,2022,2,1,Sub,18290,0,Southampton,0,0
2022-09-16,0.09639839828014374,0,0,0,0,1,Southampton,0.09639839828014374,550355,0,2022,0,82,AMR,18272,2,Aston Villa,0,0
2022-09-03,0.059670500457286835,0,0,0.20964999496936798,0,1,Southampton,0.059670500457286835,547204,0,2022,0,58,AMR,18256,1,Wolverhampton Wanderers,0.14997999370098114,0
2022-08-30,0.6026189923286438,0,0,0.6272289752960205,0,2,Chelsea,0.6026189923286438,545954,0,2022,1,90,AMR,18244,3,Southampton,0.024609399959445,0
2022-08-27,0.036938298493623734,2,0,0.19566600024700165,0.1587280035018921,0,Manchester United,0.036938298493623734,544162,0,2022,1,63,AML,18232,1,Southampton,0.11202400177717209,0
2022-08-20,0.034918300807476044,0,0,0.3952920138835907,0,1,Southampton,0.034918300807476044,542390,0,2022,2,90,AMC,18226,1,Leicester,0.3952920138835907,0
2022-08-13,0.05054749920964241,0,0,0.14040400087833405,0,2,Leeds,0.05054749920964241,540594,0,2022,2,65,FW,18215,2,Southampton,0.08985629677772522,0
2022-05-22,0,3,0,0.19877299666404724,0.16091500222682953,4,Southampton,0,537874,0,2021,1,72,MC,16752,0,Leicester,0.0378585010766983,0
2022-05-17,0,0,0,0,0,1,Liverpool,0,536752,0,2021,2,90,MR,16740,0,Southampton,0,0
2022-05-07,0.039274901151657104,0,0,0.039274901151657104,0,3,Southampton,0.039274901151657104,534225,0,2021,0,24,Sub,16734,1,Brentford,0,0
2022-04-30,0,0,0,0,0,1,Crystal Palace,0,530537,0,2021,2,7,Sub,16720,0,Southampton,0,0
2022-04-21,0.07739280164241791,2,0,0.23012399673461914,0.1527310013771057,2,Southampton,0.07739280164241791,528271,0,2021,0,68,FW,16667,1,Burnley,0,0
2022-04-16,0.6537389755249023,1,0,0.6537389755249023,0.07993640005588531,1,Arsenal,0.6537389755249023,526406,1,2021,0,90,FWL,16700,1,Southampton,0,0
2022-04-09,0,1,0,0.029272500425577164,0.029272500425577164,0,Chelsea,0,524611,0,2021,6,90,ML,16687,0,Southampton,0,0
