date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2023-03-18,0.06814339756965637,0,0,0.10214599967002869,0,3,Tottenham,0.06814339756965637,583085,0,Mohammed Salisu,2022,3,83,Sub,18480,3,Southampton,0.10214599967002869,0
2023-02-11,0.5443450212478638,2,0,0.044126998633146286,0.08278729766607285,1,Wolverhampton Wanderers,0.5443450212478638,574812,0,Mohammed Salisu,2022,2,90,DC,18430,1,Southampton,0.044126998633146286,0
2023-02-04,0.011680999770760536,0,0,0.0900249034166336,0,3,Southampton,0.011680999770760536,573231,0,Mohammed Salisu,2022,0,90,DC,18413,1,Brentford,0.07834380120038986,0
2023-01-21,0.08354309946298599,0,0,0,0,0,Aston Villa,0.08354309946298599,570205,0,Mohammed Salisu,2022,1,90,DC,18410,2,Southampton,0,0
2023-01-14,0.05577249825000763,0,0,0.5179309844970703,0,1,Southampton,0.05577249825000763,568878,0,Mohammed Salisu,2022,2,90,DC,18396,1,Everton,0.5179309844970703,0
2023-01-04,0.017131399363279343,0,0,0.030271999537944794,0,0,Nottingham Forest,0.017131399363279343,567354,0,Mohammed Salisu,2022,1,90,DC,18391,1,Southampton,0.030271999537944794,0
2022-12-31,0.12323199957609177,0,0,0.07118190079927444,0,2,Southampton,0.12323199957609177,566429,0,Mohammed Salisu,2022,1,90,DC,18374,1,Fulham,0.07118190079927444,0
2022-12-26,0.04094640165567398,1,0,0.26384100317955017,0.013873600400984287,1,Brighton,0.04094640165567398,565476,0,Mohammed Salisu,2022,3,90,DC,18371,1,Southampton,0.26384100317955017,0
2022-11-12,0,0,0,0.8098580241203308,0,3,Southampton,0,564552,0,Mohammed Salisu,2022,1,90,DC,18355,0,Liverpool,0.8098580241203308,0
2022-11-06,0.1989230066537857,1,0,1.1067899465560913,0.416918009519577,1,Newcastle United,0.1989230066537857,562625,1,Mohammed Salisu,2022,4,90,DC,18348,3,Southampton,0.6898689866065979,0
2022-10-29,0.03135149925947189,2,0,0.7006440162658691,0.052782800048589706,1,Southampton,0.03135149925947189,560028,0,Mohammed Salisu,2022,0,90,DC,18336,1,Crystal Palace,0.6719030141830444,0
2022-10-23,0,0,0,0.40011700987815857,0,1,Arsenal,0,558844,0,Mohammed Salisu,2022,1,90,DC,18328,0,Southampton,0.40011700987815857,0
2022-10-19,0,0,0,0.03305619955062866,0,0,Southampton,0,557507,0,Mohammed Salisu,2022,1,90,DC,18313,0,Bournemouth,0.03305619955062866,0
2022-10-16,0,0,0,0.08919809758663177,0,1,West Ham,0,556668,0,Mohammed Salisu,2022,1,90,DC,18309,0,Southampton,0.08919809758663177,0
2022-10-08,0,0,0,0.02334599941968918,0,4,Southampton,0,554137,0,Mohammed Salisu,2022,0,90,DC,18298,0,Manchester City,0.02334599941968918,0
2022-09-16,0,0,0,0.025564299896359444,0,1,Southampton,0,550351,0,Mohammed Salisu,2022,0,90,DC,18272,0,Aston Villa,0.025564299896359444,0
2022-09-03,0,0,0,0.18529999256134033,0,1,Southampton,0,547200,0,Mohammed Salisu,2022,0,90,DC,18256,0,Wolverhampton Wanderers,0.18529999256134033,0
2022-08-30,0.26603400707244873,0,0,0.04831229895353317,0,2,Chelsea,0.26603400707244873,545950,0,Mohammed Salisu,2022,1,90,DC,18244,1,Southampton,0.04831229895353317,0
2022-08-27,0.04304549843072891,0,0,0.21328100562095642,0,0,Manchester United,0.04304549843072891,544156,0,Mohammed Salisu,2022,1,90,DC,18232,1,Southampton,0.21328100562095642,0
2022-08-20,0.0773812010884285,0,0,0.2730979919433594,0,1,Southampton,0.0773812010884285,542385,0,Mohammed Salisu,2022,2,90,DC,18226,1,Leicester,0.2730979919433594,0
2022-08-13,0,0,0,0.8090069890022278,0,2,Leeds,0,540588,0,Mohammed Salisu,2022,2,90,DC,18215,0,Southampton,0.8090069890022278,0
2022-08-06,0.04428980126976967,1,0,0.04521220177412033,0.04521220177412033,4,Southampton,0.04428980126976967,539501,0,Mohammed Salisu,2022,1,90,DC,18207,1,Tottenham,0,0
2022-05-22,0,0,0,0,0,4,Southampton,0,537873,0,Mohammed Salisu,2021,1,90,DL,16752,0,Leicester,0,0
2022-05-17,0,1,0,0.01693359948694706,0.01693359948694706,1,Liverpool,0,536749,0,Mohammed Salisu,2021,2,90,DC,16740,0,Southampton,0,0
2022-05-07,0.047550201416015625,0,0,0.1791040003299713,0,3,Southampton,0.047550201416015625,534216,0,Mohammed Salisu,2021,0,90,DC,16734,2,Brentford,0.1791040003299713,0
2022-04-30,0,0,0,0.16186800599098206,0,1,Crystal Palace,0,530527,0,Mohammed Salisu,2021,2,90,DC,16720,0,Southampton,0.16186800599098206,0
