date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2023-02-25,0,1,0,0.22066426277160645,0.14873744547367096,0,Liverpool,0,578123,0,2022,0,47,MC,18443,0,Crystal Palace,0.07192682474851608,0
2023-02-13,0,0,0,0,0,2,Everton,0,575867,0,2022,0,1,Sub,18428,0,Liverpool,0,0
2023-02-04,0.2556025981903076,2,0,0.5222388505935669,0.1754065454006195,3,Liverpool,0.2556025981903076,573266,0,2022,0,69,MC,18421,5,Wolverhampton Wanderers,0.09122974425554276,0
2023-01-21,0.06004402041435242,1,0,0.2126106172800064,0.05637591704726219,0,Chelsea,0.06004402041435242,569908,0,2022,0,67,MC,18408,2,Liverpool,0.11242786049842834,0
2023-01-14,0,1,0,0.14345690608024597,0.14345690608024597,3,Liverpool,0,568771,0,2022,0,20,Sub,18394,0,Brighton,0,0
2023-01-02,0.0807332992553711,1,0,0.13790300488471985,0.05717010051012039,3,Liverpool,0.0807332992553711,566926,0,2022,1,41,Sub,18384,1,Brentford,0,0
2022-12-30,0.016281500458717346,2,0,0.24796399474143982,0.1497659981250763,2,Leicester,0.016281500458717346,566269,0,2022,1,25,Sub,18375,1,Liverpool,0.098198302090168,0
2022-12-26,0.019193200394511223,0,0,0,0,1,Liverpool,0.019193200394511223,565622,0,2022,3,20,Sub,18363,1,Aston Villa,0,0
2022-05-22,0.08718589693307877,1,0,0.1871899962425232,0.10000400245189667,3,Wolverhampton Wanderers,0.08718589693307877,537889,0,2021,1,75,MC,16753,1,Liverpool,0,0
2022-05-17,0,0,0,0,0,1,Liverpool,0,536772,0,2021,2,4,Sub,16740,0,Southampton,0,0
2022-05-10,0.04508959874510765,0,0,0.03183409944176674,0,1,Liverpool,0.04508959874510765,534608,0,2021,2,90,MC,16705,2,Aston Villa,0,0
2022-05-07,0,0,0,0,0,1,Tottenham,0,533103,0,2021,1,1,Sub,16728,0,Liverpool,0,0
2022-04-30,1.00177001953125,1,1,1.845420002937317,0.34232398867607117,0,Liverpool,1.00177001953125,530126,0,2021,1,90,MC,16721,3,Newcastle United,1.4744399785995483,1
2022-04-24,0.018223000690340996,2,0,0.1107959970831871,0.05181960016489029,2,Everton,0.018223000690340996,529600,0,2021,0,64,MC,16708,1,Liverpool,0.0847420021891594,0
2022-04-19,0,0,0,0.03878059983253479,0,4,Manchester United,0,527536,0,2021,0,9,Sub,16669,0,Liverpool,0.03878059983253479,0
2022-04-10,0,0,0,0,0,2,Liverpool,0,525536,0,2021,2,10,Sub,16690,0,Manchester City,0,0
2022-03-12,0.07497149705886841,0,0,0.4582889974117279,0,0,Liverpool,0.07497149705886841,519105,0,2021,2,67,MC,16658,1,Brighton,0.3833180069923401,0
