date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2023-04-16,0.041377633810043335,0,1,0.43797799944877625,0,2,Elche,0.041377633810043335,588950,0,2022,0,90,DMC,19248,1,Girona,0.3966003656387329,1
2023-04-10,0,1,0,0.44719985127449036,0.04702277481555939,0,Girona,0,587896,0,2022,0,90,DMC,19232,0,Barcelona,0.44719985127449036,0
2023-04-01,0.05455462634563446,0,0,0.1979752629995346,0,2,Espanyol,0.05455462634563446,584399,0,2022,1,90,DMC,19228,1,Girona,0.1979752629995346,0
2023-03-18,0,1,0,0.5500466227531433,0.01624993234872818,2,Girona,0,583156,0,2022,2,90,DMC,19221,0,Rayo Vallecano,0.5337966680526733,0
2023-03-13,0,0,0,0.041085030883550644,0,0,Atletico Madrid,0,582458,0,2022,1,75,DMC,19207,0,Girona,0.041085030883550644,0
2023-03-04,0,2,0,0.1328425407409668,0.06458223611116409,3,Girona,0,579226,0,2022,2,90,DMC,19195,0,Getafe,0.08222604542970657,0
2023-02-26,0.011756910011172295,1,0,0.2936914265155792,0.06614219397306442,2,Girona,0.011756910011172295,578308,0,2022,3,90,DMC,19184,1,Athletic Club,0.2936914265155792,0
2023-02-17,0,0,0,0.9192463755607605,0,6,Almeria,0,576075,0,2022,2,90,MC,19181,0,Girona,0.9192463755607605,0
2023-02-10,0.03944743424654007,1,0,0.04767649620771408,0.01898462511599064,2,Girona,0.03944743424654007,574529,0,2022,0,90,MC,19163,1,Cadiz,0.04767649620771408,0
2023-02-05,0.11111309379339218,2,0,0.37288838624954224,0.203317329287529,1,Valencia,0.11111309379339218,573990,0,2022,0,90,MC,19160,2,Girona,0.24962428212165833,0
2023-01-28,0,1,0,0.5375152230262756,0.031369078904390335,0,Barcelona,0,571682,0,2022,1,90,MC,19147,0,Girona,0.5375152230262756,0
2023-01-22,0,0,0,0,0,1,Girona,0,570524,0,2022,0,90,DMC,19141,0,Villarreal,0,0
2023-01-14,0.4854605495929718,0,0,0.2602052390575409,0,2,Sevilla,0.4854605495929718,568897,0,2022,1,90,MC,19126,2,Girona,0.20039081573486328,0
2022-12-29,0,1,0,0.1474040001630783,0.007319959811866283,2,Rayo Vallecano,0,565957,0,2022,2,90,DMC,19106,0,Girona,0.14008399844169617,0
2022-11-08,0.19110600650310516,0,0,0.7083820104598999,0,1,Girona,0.19110600650310516,563225,0,2022,2,90,DMC,19093,3,Elche,0.5861189961433411,0
2022-11-04,0.05028900131583214,0,0,0.4936160147190094,0,2,Athletic Club,0.05028900131583214,561455,0,2022,1,90,DMC,19087,1,Girona,0.44332700967788696,0
2022-10-30,0,0,0,0.10733199864625931,0,1,Girona,0,560951,0,2022,1,90,DMC,19081,0,Real Madrid,0.10733199864625931,0
2022-10-23,0,0,0,0.017864400520920753,0,1,Osasuna,0,559277,0,2022,1,90,MC,19064,0,Girona,0.017864400520920753,0
2022-10-20,0,0,0,0.5042719841003418,0,3,Girona,0,557692,0,2022,2,90,MC,19056,0,Almeria,0.5042719841003418,0
2022-10-15,0.01645589992403984,2,0,0.4950839877128601,0.06506799906492233,1,Cadiz,0.01645589992403984,555723,0,2022,1,90,MC,19049,1,Girona,0.41356000304222107,0
2022-10-08,0.09023279696702957,1,0,0.26099300384521484,0.019756700843572617,2,Girona,0.09023279696702957,554203,0,2022,1,90,MC,19032,2,Atletico Madrid,0.15100300312042236,0
2022-10-02,0.03397800028324127,0,0,0.36204099655151367,0,3,Real Sociedad,0.03397800028324127,553420,0,2022,5,90,MC,19025,1,Girona,0.3280630111694336,0
2022-09-18,0.025692300871014595,1,0,1.0378400087356567,0.015272299759089947,2,Girona,0.025692300871014595,551701,0,2022,1,90,MC,19014,1,Real Betis,1.0225600004196167,0
2022-09-09,0.6034759879112244,2,1,0.5361760258674622,0.04909539967775345,2,Real Valladolid,0.6034759879112244,548784,0,2022,1,90,MC,19008,2,Girona,0.48708099126815796,1
2022-09-03,0,0,0,0,0,1,Girona,0,546895,0,2022,1,90,MC,19001,0,Mallorca,0,0
2022-08-06,0,0,0,0,0,4,Southampton,0,539505,0,2022,1,77,MC,18207,0,Tottenham,0,0
2022-05-22,0,0,0,0.15944699943065643,0,4,Southampton,0,537875,0,2021,1,90,MC,16752,0,Leicester,0.15944699943065643,0
2022-05-17,0,0,0,0.01693359948694706,0,1,Liverpool,0,536757,0,2021,2,16,Sub,16740,0,Southampton,0.01693359948694706,0
