date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2023-04-08,0.12226799875497818,0,0,0.062428299337625504,0,1,Newcastle United,0.12226799875497818,586658,0,Pontus Jansson,2022,2,15,DC,18493,2,Brentford,0,0
2023-04-05,0,0,0,0.02595219947397709,0,1,Brentford,0,586141,0,Pontus Jansson,2022,0,90,DC,18448,0,Manchester United,0.02595219947397709,0
2023-04-01,0.0538954995572567,0,1,0.4084340035915375,0,3,Brentford,0.0538954995572567,584749,0,Pontus Jansson,2022,3,90,DC,18484,1,Brighton,0.3545379936695099,1
2023-03-18,0,0,0,0,0,1,Leicester,0,583026,0,Pontus Jansson,2022,1,1,Sub,18474,0,Brentford,0,0
2023-03-15,0,0,0,0,0,0,Brentford,0,582514,0,Pontus Jansson,2022,2,9,Sub,18265,0,Southampton,0,0
2022-12-30,0,0,0,0,0,0,Brentford,0,566256,0,Pontus Jansson,2022,2,1,Sub,18380,0,West Ham,0,0
2022-10-01,0.020561400800943375,0,0,0.017681200057268143,0,0,Brentford,0.020561400800943375,552405,0,Pontus Jansson,2022,0,68,DC,18283,1,Bournemouth,0.017681200057268143,0
2022-09-18,0,0,0,0.39997100830078125,0,0,Arsenal,0,551039,0,Pontus Jansson,2022,3,90,DC,18280,0,Brentford,0.39997100830078125,0
2022-09-03,0,0,0,0,0,5,Leeds,0,547215,0,Pontus Jansson,2022,2,90,DC,18257,0,Brentford,0,0
2022-08-20,0,0,0,0.9361630082130432,0,3,Brentford,0,542412,0,Pontus Jansson,2022,2,90,DC,18225,0,Fulham,0.9361630082130432,0
2022-08-13,0,0,0,0,0,4,Manchester United,0,540796,0,Pontus Jansson,2022,0,90,DC,18218,0,Brentford,0,0
2022-08-07,0,0,0,0,0,2,Brentford,0,539837,0,Pontus Jansson,2022,2,90,DC,18210,0,Leicester,0,0
2022-05-22,0,0,0,0.1539739966392517,0,1,Leeds,0,537691,0,Pontus Jansson,2021,2,90,DC,16747,0,Brentford,0.1539739966392517,0
2022-05-15,0,0,0,0.17500300705432892,0,2,Brentford,0,536241,0,Pontus Jansson,2021,3,90,DC,16744,0,Everton,0.17500300705432892,0
2022-05-07,0.6389589905738831,0,1,0.21135100722312927,0,3,Southampton,0.6389589905738831,534203,0,Pontus Jansson,2021,0,90,DC,16734,2,Brentford,0.06674560159444809,1
2022-05-02,0,0,0,0,0,3,Brentford,0,531707,0,Pontus Jansson,2021,0,90,DC,16722,0,Manchester United,0,0
2022-04-23,0.3008739948272705,0,0,0.08247470110654831,0,0,Tottenham,0.3008739948272705,528878,0,Pontus Jansson,2021,0,90,DC,16714,1,Brentford,0.08247470110654831,0
2022-04-16,0.823091983795166,1,1,0.10977499932050705,0.03754179924726486,1,Brentford,0.823091983795166,526440,0,Pontus Jansson,2021,2,90,DC,16698,2,Watford,0,1
2022-04-02,0,0,0,0,0,1,Brentford,0,522793,0,Pontus Jansson,2021,4,90,DC,16683,0,Chelsea,0,0
2022-03-20,0.590723991394043,1,0,0.16423200070858002,0.02881070040166378,2,Brentford,0.590723991394043,521735,0,Pontus Jansson,2021,1,90,DC,16668,4,Leicester,0.04718739911913872,0
2022-03-12,0,0,0,0,0,2,Burnley,0,519329,0,Pontus Jansson,2021,0,90,DC,16657,0,Brentford,0,0
2022-03-05,0,0,0,0.09913840144872665,0,1,Brentford,0,517593,0,Pontus Jansson,2021,3,90,DC,16652,0,Norwich,0.09913840144872665,0
2022-02-26,0,0,0,0,0,0,Newcastle United,0,515995,0,Pontus Jansson,2021,2,90,DC,16637,0,Brentford,0,0
2022-02-19,0,0,0,0,0,2,Brentford,0,514165,0,Pontus Jansson,2021,1,90,DC,16626,0,Arsenal,0,0
2022-02-12,0.07804760336875916,0,0,0,0,0,Crystal Palace,0.07804760336875916,512647,0,Pontus Jansson,2021,0,90,DC,16616,1,Brentford,0,0
2022-02-09,0,0,0,0,0,2,Brentford,0,512215,0,Pontus Jansson,2021,0,90,DC,16615,0,Manchester City,0,0
2022-01-22,0,0,0,0,0,1,Wolverhampton Wanderers,0,509786,0,Pontus Jansson,2021,2,90,DC,16597,0,Brentford,0,0
2022-01-19,0,0,0,0.19447900354862213,0,1,Manchester United,0,509188,0,Pontus Jansson,2021,3,90,DC,16537,0,Brentford,0.19447900354862213,0
2022-01-16,0,0,0,0,0,3,Brentford,0,508484,0,Pontus Jansson,2021,0,90,DC,16589,0,Liverpool,0,0
2022-01-11,0,0,0,0.3403030037879944,0,4,Brentford,0,507747,0,Pontus Jansson,2021,1,90,DC,16551,0,Southampton,0.3403030037879944,0
2022-01-02,0.015639599412679672,0,0,0.0574938990175724,0,2,Aston Villa,0.015639599412679672,505596,0,Pontus Jansson,2021,1,90,DC,16577,1,Brentford,0.0574938990175724,0
2021-12-29,0,0,0,0,0,0,Manchester City,0,505372,0,Pontus Jansson,2021,1,90,DC,16567,0,Brentford,0,0
2021-12-26,0.09035880118608475,0,0,0.12173300236463547,0,2,Brentford,0.09035880118608475,505191,0,Pontus Jansson,2021,0,90,DC,16557,2,Brighton,0.12173300236463547,0
2021-12-10,0.4433459937572479,0,1,0.02277969941496849,0,2,Watford,0.4433459937572479,501315,0,Pontus Jansson,2021,1,90,DC,16527,2,Brentford,0,1
2021-12-05,0,0,0,0.07519350200891495,0,2,Brentford,0,500494,0,Pontus Jansson,2021,2,90,DC,16518,0,Leeds,0.07519350200891495,0
2021-12-02,0.02992890030145645,1,0,0.15856699645519257,0.03753700107336044,2,Brentford,0.02992890030145645,499421,0,Pontus Jansson,2021,0,90,DC,16515,1,Tottenham,0.0911014974117279,0
2021-11-28,0,0,0,0,0,1,Everton,0,497928,0,Pontus Jansson,2021,0,90,DC,16497,0,Brentford,0,0
2021-11-20,0,0,0,0.0318927988409996,0,3,Brentford,0,495746,0,Pontus Jansson,2021,3,90,DC,16491,0,Newcastle United,0.0318927988409996,0
2021-11-06,0.08863069862127304,0,0,0.42875298857688904,0,1,Norwich,0.08863069862127304,493996,0,Pontus Jansson,2021,2,90,DC,16477,2,Brentford,0.3401229977607727,0
2021-10-30,0,0,0,0.11851199716329575,0,3,Brentford,0,492309,0,Pontus Jansson,2021,1,90,DC,16467,0,Burnley,0.11851199716329575,0
2021-10-24,0.5262439846992493,0,0,0.14964500069618225,0,1,Leicester,0.5262439846992493,490447,0,Pontus Jansson,2021,2,90,DC,16457,1,Brentford,0.14964500069618225,0
