date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2023-04-23,0,1,0,0.042072493582963943,0.07472916692495346,0,West Ham,0,590816,0,Thilo Kehrer,2022,4,4,Sub,18513,0,Bournemouth,0.042072493582963943,0
2023-04-16,0,1,0,0.25922900438308716,0.25922900438308716,2,Arsenal,0,589134,1,Thilo Kehrer,2022,2,90,DC,18510,0,West Ham,0,0
2023-04-05,0,0,0,0,0,1,Newcastle United,0,586093,0,Thilo Kehrer,2022,5,66,DR,18268,0,West Ham,0,0
2023-04-02,0,2,0,0.12949800491333008,0.14914900064468384,1,Southampton,0,585260,1,Thilo Kehrer,2022,0,90,DR,18491,0,West Ham,0.09095089882612228,0
2023-03-12,0,1,0,0.25724101066589355,0.04377489909529686,1,Aston Villa,0,581931,0,Thilo Kehrer,2022,1,90,DR,18471,0,West Ham,0.21346600353717804,0
2023-02-19,0,0,0,0.06344129890203476,0,2,West Ham,0,577228,0,Thilo Kehrer,2022,0,90,DC,18440,0,Tottenham,0.06344129890203476,0
2023-02-11,0,0,0,0.4467659890651703,0,1,Chelsea,0,574571,0,Thilo Kehrer,2022,1,90,DC,18431,0,West Ham,0.4467659890651703,0
2023-02-04,0,0,0,0,0,1,West Ham,0,573478,0,Thilo Kehrer,2022,1,48,DC,18418,0,Newcastle United,0,0
2023-01-04,0.04544350132346153,0,0,0.11873500049114227,0,2,West Ham,0.04544350132346153,567434,0,Thilo Kehrer,2022,2,90,DL,18388,1,Leeds,0.11873500049114227,0
2022-12-26,0.013417400419712067,0,0,0.013417400419712067,0,3,West Ham,0.013417400419712067,565643,0,Thilo Kehrer,2022,1,90,DC,18362,1,Arsenal,0,0
2022-11-12,0,0,0,0.12739799916744232,0,0,Leicester,0,564444,0,Thilo Kehrer,2022,2,90,DR,18360,0,West Ham,0.12739799916744232,0
2022-11-06,0.03341380134224892,0,0,0.07485490292310715,0,1,Crystal Palace,0.03341380134224892,562719,0,Thilo Kehrer,2022,2,90,DR,18350,1,West Ham,0.07485490292310715,0
2022-10-30,0,0,0,0.17502300441265106,0,1,West Ham,0,561008,0,Thilo Kehrer,2022,0,90,DR,18340,0,Manchester United,0.17502300441265106,0
2022-10-24,0.010373800061643124,0,0,0.12133599817752838,0,2,Bournemouth,0.010373800061643124,559522,0,Thilo Kehrer,2022,0,90,DC,18330,1,West Ham,0.11096200346946716,0
2022-10-19,0.3862070143222809,0,0,0.882515013217926,0,1,West Ham,0.3862070143222809,557539,0,Thilo Kehrer,2022,0,90,DC,18320,1,Liverpool,0.882515013217926,0
2022-10-16,0,0,0,0.12242499738931656,0,1,West Ham,0,556682,0,Thilo Kehrer,2022,1,90,DC,18309,0,Southampton,0.12242499738931656,0
2022-10-09,0.06149959936738014,1,0,0.9489619731903076,0.1198199987411499,3,Fulham,0.06149959936738014,554739,0,Thilo Kehrer,2022,1,90,DR,18301,1,West Ham,0.7676429748535156,0
2022-10-01,0.023370299488306046,1,0,0.09197480231523514,0.051044099032878876,2,Wolverhampton Wanderers,0.023370299488306046,552609,0,Thilo Kehrer,2022,0,90,DR,18291,1,West Ham,0.01756029948592186,0
2022-09-18,0,0,0,0.20287500321865082,0,1,West Ham,0,551397,0,Thilo Kehrer,2022,0,90,DC,18277,0,Everton,0.20287500321865082,0
2022-09-03,0,0,0,0,0,2,West Ham,0,547264,0,Thilo Kehrer,2022,1,90,DC,18260,0,Chelsea,0,0
2022-08-31,0,0,0,0.17725400626659393,0,1,Tottenham,0,546409,0,Thilo Kehrer,2022,1,90,DC,18249,0,West Ham,0.17725400626659393,0
2022-08-28,0,0,0,0.05090460181236267,0,0,West Ham,0,545252,0,Thilo Kehrer,2022,1,90,DC,18239,0,Aston Villa,0.05090460181236267,0
2022-08-21,0,0,0,0.039886701852083206,0,0,Brighton,0,542919,0,Thilo Kehrer,2022,2,90,DC,18229,0,West Ham,0.039886701852083206,0
2022-05-21,0,0,0,0,0,5,Metz,0,537543,0,Thilo Kehrer,2021,0,6,Sub,18197,0,Paris Saint Germain,0,0
2022-05-14,0,0,0,0.22299499809741974,0,0,Paris Saint Germain,0,535831,0,Thilo Kehrer,2021,4,86,DR,18188,0,Montpellier,0.22299499809741974,0
2022-04-29,0,0,0,0,0,3,Paris Saint Germain,0,530074,0,Thilo Kehrer,2021,3,1,Sub,18168,0,Strasbourg,0,0
2022-04-20,0.020862100645899773,1,0,0.3864290118217468,0.027220100164413452,0,Paris Saint Germain,0.020862100645899773,527959,0,Thilo Kehrer,2021,3,90,DC,18142,1,Angers,0.3864290118217468,0
2022-04-09,0.07103259861469269,0,0,0.5830339789390564,0,1,Paris Saint Germain,0.07103259861469269,524962,0,Thilo Kehrer,2021,6,10,Sub,18125,1,Clermont Foot,0.5830339789390564,0
