date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2023-04-09,0,0,0,0,0,1,Crystal Palace,0,587461,0,2022,5,28,Sub,18495,0,Leeds,0,0
2023-03-18,0,1,0,0.11020239442586899,0.3382217288017273,2,Leeds,0,583129,1,2022,4,64,AML,18481,0,Wolverhampton Wanderers,0.11020239442586899,0
2023-03-11,0,1,0,0,0.027557676658034325,2,Brighton,0,581270,1,2022,2,23,Sub,18466,0,Leeds,0,0
2023-03-04,0,1,0,0.047701310366392136,0.047701310366392136,1,Leeds,0,579568,0,2022,0,21,Sub,18456,0,Chelsea,0,0
2023-02-25,0.03930021449923515,0,0,0.19417202472686768,0,1,Southampton,0.03930021449923515,577835,0,2022,0,61,AML,18446,2,Leeds,0.15487180650234222,0
2023-02-18,0,0,0,0.06505153328180313,0,1,Leeds,0,576438,0,2022,0,90,AML,18436,0,Everton,0.06505153328180313,0
2023-02-12,0.08191157877445221,1,0,0.02904103510081768,0.10193882137537003,0,Manchester United,0.08191157877445221,575404,0,2022,2,90,AML,18426,2,Leeds,0,0
2023-02-08,0.043083108961582184,1,1,0.11822777986526489,0.07514467090368271,2,Leeds,0.043083108961582184,574409,0,2022,2,90,AML,18279,1,Manchester United,0,1
2023-02-05,0.05047556012868881,5,0,0.2362579107284546,0.714080274105072,1,Leeds,0.05047556012868881,573851,0,2022,0,90,AML,18419,1,Nottingham Forest,0.05954419821500778,0
2023-01-22,0.06892647594213486,1,0,0.18730615079402924,0.016689876094460487,0,Brentford,0.06892647594213486,570606,0,2022,0,90,AMC,18406,2,Leeds,0.10168980062007904,0
2023-01-13,0.7053377032279968,2,0,1.8384721279144287,0.0598529577255249,2,Leeds,0.7053377032279968,568646,0,2022,1,90,AML,18392,3,Aston Villa,1.10981285572052,0
2023-01-04,0.3967370092868805,0,1,0.3967370092868805,0,2,West Ham,0.3967370092868805,567423,0,2022,2,90,AMC,18388,2,Leeds,0,1
2022-12-31,0.07346069812774658,1,0,0.14404399693012238,0.07058309763669968,0,Leeds,0.07346069812774658,566405,0,2022,0,72,AML,18377,2,Newcastle United,0,0
2022-12-28,0.1353590041399002,1,0,0.15632499754428864,0.020966600626707077,1,Manchester City,0.1353590041399002,565901,0,2022,3,90,FWL,18368,2,Leeds,0.050621699541807175,0
2022-11-12,0,0,0,0,0,4,Leeds,0,564494,0,2022,3,48,AMR,18359,0,Tottenham,0,0
2022-11-05,0,3,0,0.7436929941177368,0.785444974899292,4,Bournemouth,0,561863,1,2022,3,40,Sub,18345,0,Leeds,0.03876519948244095,0
2022-10-29,0,0,0,0.0790363997220993,0,1,Leeds,0,560433,0,2022,2,16,Sub,18339,0,Liverpool,0.0790363997220993,0
